"State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","Region","Number","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","log_sales","log_rate","year_effective","group","Post","treatment","rel_year","log_totrev","State_Name","CPI_def","real_totRev","logRealTotRev","population","real_cit","logRealCitRev","Tot_logReal_capita","CIT_logReal_capita","real_totRev_capita","real_cit_capita","detrended_RTR_capita","detrended_CIT_capita","naive_ci","Ann_CORPINC","real_ci","real_ci_cap","log_ci","real_log_nci"
"DE",2017,120843,246175,1304919,NA,556490,NA,1427150,556490,3589030,1180975,NA,8,"Mideast",2,50,NA,NA,NA,8.7,12.413797944116,3.91202300542815,2.16332302566054,2017,"t",1,1,0,15.0933925289691,"Delaware",245.12,1464193.04830287,14.196814828405,957.942,100430.401436031,11.5172202435519,0.014820119410575,0.0120228784660782,1528.47776619343,104.839751713602,-193.656443876059,-41.495424931936,2829597.70114943,618227704.037245,1154372.43029921,1205.05461739773,14.8556451044436,13.9590674038794
"DE",2018,117494,254802,1378003,NA,585645,NA,1907137,585645,4220057,1652335,NA,8,"Mideast",2,60,NA,NA,NA,8.7,12.4482420519429,4.0943445622221,2.16332302566054,2017,"t",1,1,1,15.25535919303,"Delaware",251.107,1680581.18650615,14.3346502359034,966.985,101471.484267663,11.5275330948163,0.01482406680135,0.0119211084916688,1737.95993371784,104.935944474488,-0.090253272019936,-42.3402998753331,2928758.62068966,659140126.637113,1166338.89962831,1206.16028131596,14.8900892122705,13.9693802551439
"DE",2019,140916,289974,1560527,NA,602601,NA,2031392,602601,4596190,1741418,NA,8,"Mideast",2,75,NA,NA,NA,8.7,12.577546542771,4.31748811353631,2.16332302566054,2017,"t",1,1,2,15.3407382573922,"Delaware",255.657,1797795.48379274,14.4020717410439,976.668,113423.062931975,11.6388800264227,0.0147461284090847,0.0119169257377355,1840.74371617862,116.132670397694,86.7775522683892,-32.0846416564102,3333034.48275862,811868904.601906,1303713.3670342,1334.85828043327,15.0193937030985,14.0807271867503
"DE",2020,127014,244913,1643896,NA,585504,NA,1930761,585504,4555474,1685848,NA,8,"Mideast",2,100,NA,NA,NA,8.7,12.4086583244224,4.60517018598809,2.16332302566054,2017,"t",1,1,3,15.3318401447331,"Delaware",258.811,1760154.70748925,14.3809122651337,991.862,94630.0582278188,11.457730444823,0.0144989043487236,0.0115517384926764,1774.59637277086,95.4064761305693,4.71423194025829,-53.751903627818,2815091.95402299,731497685.095974,1087701.81871056,1096.62616242034,14.8505054847499,13.8995776051506
"DE",2021,161821,334805,1822622,NA,587923,NA,2483094,587923,5395710,2148289,NA,8,"Mideast",2,100,NA,NA,NA,8.7,12.7213035517751,4.60517018598809,2.16332302566054,2017,"t",1,1,4,15.5011147513518,"Delaware",270.97,1991257.33476031,14.5042768236951,1004.881,123557.958445584,11.7244656241183,0.014433825322297,0.011667516476198,1981.5852173146,122.957801416869,195.787099563628,-27.1416460458014,3848333.33333333,1253564404.96547,1420206.41891476,1413.30806226286,15.1631507121026,14.1663127844458
"DE",2022,140463,498885,2210216,NA,644552,NA,2903928,644552,6310891,2405043,NA,8,"Mideast",2,100,NA,NA,NA,8.7,13.1201308872516,4.60517018598809,2.16332302566054,2017,"t",1,1,5,15.6577874289864,"Delaware",292.655,2156426.85072867,14.5839631741278,1019.459,170468.640549452,12.046306632393,0.0143055906849886,0.0118163718525149,2115.26589174128,167.214807608204,313.551797069937,16.1742924412505,5734310.34482759,1746074924.66558,1959409.66148796,1922.00928285293,15.5619780475792,14.4881537927206
"FL",1976,43699,180740,4404,58237,2218934,47377,180740,964848,2935507,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.1048148134559,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,14.8923907390858,"Florida",56.9,5159063.2688928,15.4562655839416,8667.379,317644.991212654,12.6686896583118,0.00178326868871681,0.00146165174712122,595.227607895397,36.6483329288651,-74.430085180121,-1.739339647053,3614800,110490084.431644,6352899.82425308,732.966658577302,15.1005470870099,15.6644219318657
"FL",1977,50126,194199,5041,68555,2415293,47076,194199,1016703,3274802,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.1766386854955,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.0017679672086,"Florida",60.6,5403963.69636964,15.5026432601214,8856.183,320460.396039604,12.6775139784083,0.00175048813468753,0.00143148735503866,610.191060456817,36.1849338523836,-64.6642487911136,-2.50167792871763,3883980,149513688.209561,6409207.92079208,723.698677047671,15.1723709590495,15.6732462519623
"FL",1978,54787,256189,6048,70530,2807830,94804,256189,1163083,3764283,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.4536707323162,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.1410679628335,"Florida",65.2,5773440.18404908,15.5687786798889,9102.032,392927.914110429,12.8813814493716,0.00171047285703774,0.00141522040895611,634.302338648016,43.1692521088071,-45.7505867723271,4.18370112252273,5123780,173062269.010985,7858558.28220859,863.385042176141,15.4494030058701,15.8771137229256
"FL",1979,61265,314409,7454,77345,3206580,91902,314409,1259597,4290975,NA,NA,9,NA,NA,50,NA,NA,NA,5,12.6584499650817,3.91202300542815,1.6094379124341,NA,"n",0,0,NA,15.2720245378089,"Florida",72.6,5910433.88429752,15.5922298019663,9426.159,433070.247933884,12.978655229239,0.00165414457807961,0.00137687633204989,627.024632652337,45.9434482204135,-58.2259089404187,6.658958028946,6288180,193750761.060453,8661404.95867769,918.868964408269,15.6541822386357,15.974387502793
