"State_Acronym","year","CORPINCTX","sales","industry_dum","election_dum","phase_in_dum","rates","log_CIT","year_effective","Post","treatment","rel_year","State_Name","real_cit","logRealCitRev","real_cit_capita","detrended_CIT_capita"
"PA",2010,1648956,90,NA,NA,NA,9.99,14.3156529183477,2007,1,0,3,"Pennsylvania",756207.579704296,13.5360711938009,59.4904749092505,-19.96263737805
"PA",2011,1978061,90,NA,NA,NA,9.99,14.4976276299208,2007,1,0,4,"Pennsylvania",879376.630997737,13.6869685615729,68.9866669562294,-10.4687125880788
"PA",2012,1837374,90,NA,NA,NA,9.99,14.4238479362894,2007,1,0,5,"Pennsylvania",800270.913002953,13.5927055905777,62.6723474276936,-16.7852993736222
"PA",2013,2208163,100,NA,NA,NA,9.99,14.6076715061181,2007,1,0,6,"Pennsylvania",947884.373510991,13.7619878049281,74.1720376363364,-5.28787642198712
"PA",2014,2301589,100,NA,NA,NA,9.99,14.6491103119241,2007,1,0,7,"Pennsylvania",972217.575696134,13.7873349017022,75.9996704053577,-3.46251090997349
"PA",2015,2510136,100,NA,NA,NA,9.99,14.735847492907,2007,1,0,8,"Pennsylvania",1059053.14808642,13.8728858103747,82.8042660185707,3.33981744623183
"PA",2016,2456231,100,NA,NA,NA,9.99,14.7141386192008,2007,1,0,9,"Pennsylvania",1023399.73417442,13.8386407156056,80.0252019377474,0.558486108400842
"PA",2017,2344344,100,NA,NA,NA,9.99,14.6675161765904,2007,1,0,10,"Pennsylvania",956406.657963446,13.7709384760262,74.7503441050335,-4.71863898132072
"PA",2018,2486379,100,NA,NA,NA,9.99,14.7263379931739,2007,1,0,11,"Pennsylvania",990167.139904503,13.8056290360473,77.301808775936,-2.16944156742592
"PA",2019,2962361,100,NA,NA,NA,9.99,14.9014971434935,2007,1,0,12,"Pennsylvania",1158724.77577379,13.9628306271453,90.533273550027,11.0597559496574
"PA",2020,2510056,100,NA,NA,NA,9.99,14.7358156216161,2007,1,0,13,"Pennsylvania",969841.312772641,13.7848877420167,74.6291431066856,-4.84664175069167
"PA",2021,4045313,100,NA,NA,NA,9.99,15.2130694849619,2007,1,0,14,"Pennsylvania",1492900.6901133,14.2162315573052,114.718378008853,35.240325894468
"PA",2022,5007127,100,NA,NA,NA,9.99,15.4263728554801,2007,1,0,15,"Pennsylvania",1710931.64306094,14.3525486006215,131.893280972277,52.4129616008844
"RI",1976,35780,33.34,NA,NA,NA,8,10.4851443570627,2015,0,0,-39,"Rhode Island",62882.2495606327,11.0490192019185,66.4654694860977,9.4294811685167
"RI",1977,40842,33.34,NA,NA,NA,8,10.617466242676,2015,0,0,-38,"Rhode Island",67396.0396039604,11.1183415355888,70.9260280184381,13.8726888164856
"RI",1978,43610,33.34,NA,NA,NA,8,10.6830417608368,2015,0,0,-37,"Rhode Island",66886.5030674847,11.1107524778923,70.2725138760902,13.2018237897663
"RI",1979,55903,33.34,NA,NA,NA,8,10.9313733249661,2015,0,0,-36,"Rhode Island",77001.3774104683,11.2515785891235,81.0215023121948,23.9334613414994
"RI",1980,53620,33.34,NA,NA,NA,8,10.88967741179,2015,0,0,-35,"Rhode Island",65072.8155339806,11.0832621608626,68.586285164081,11.4808933090141
"RI",1981,50340,33.34,NA,NA,NA,8,10.8265552686893,2015,0,0,-34,"Rhode Island",55379.5379537954,10.921965453494,58.1099501830462,0.987207443607822
"RI",1982,52524,33.34,NA,NA,NA,8,10.8690254869789,2015,0,0,-33,"Rhode Island",54429.0155440415,10.904652664622,57.0433104625396,-0.0967831612702525
"RI",1983,42446,33.34,NA,NA,NA,9,10.6559879587956,2015,0,0,-32,"Rhode Island",42616.4658634538,10.6599959801931,44.560087771888,-12.5973567362933
"RI",1984,59274,33.34,NA,NA,NA,8,10.9899260402725,2015,0,0,-31,"Rhode Island",57049.0856592878,10.9516673281554,59.3091189458379,2.1343235532851
"RI",1985,70504,33.34,NA,NA,NA,8,11.1634247247795,2015,0,0,-30,"Rhode Island",65524.1635687732,11.0901742630399,67.6235362517075,10.4313899747832
"RI",1986,67656,33.34,NA,NA,NA,8,11.1221913214621,2015,0,0,-29,"Rhode Island",61729.9270072993,11.0305241329362,63.1610942417225,5.95159708042674
"RI",1987,87675,33.34,NA,NA,NA,8,11.3813920750084,2015,0,0,-28,"Rhode Island",77178.6971830986,11.2538787547094,77.9894757732372,20.76262772757
"RI",1988,79194,33.34,NA,NA,NA,8,11.279655817357,2015,0,0,-27,"Rhode Island",66943.3643279797,11.1116022323608,67.1846917407124,9.94049281067369
"RI",1989,77624,33.34,NA,NA,NA,9,11.2596319367051,2015,0,0,-26,"Rhode Island",62600,11.0445205570882,62.5583361481253,5.29678633371512
"RI",1990,68828,33.34,NA,NA,NA,9,11.139365917873,2015,0,0,-25,"Rhode Island",52661.0558530987,10.871631483231,52.4173675115376,-4.86153318724406
"RI",1991,45966,33.34,NA,NA,NA,9,10.7356572717449,2015,0,0,-24,"Rhode Island",33748.8986784141,10.4267030640176,33.6147757232782,-23.6814758598749
"RI",1992,48502,33.34,NA,NA,NA,9,10.7893603131887,2015,0,0,-23,"Rhode Island",34570.2066999287,10.4507475120684,34.5504783767756,-22.763124090749
"RI",1993,69846,33.34,NA,NA,NA,9,11.1540480974763,2015,0,0,-22,"Rhode Island",48336.3321799308,10.7859387759119,48.4403821207261,-8.89057123116999
"RI",1994,79320,33.34,NA,NA,NA,9,11.2812455826337,2015,0,0,-21,"Rhode Island",53522.2672064777,10.8878530557598,53.8772102677215,-3.47109396854606
"RI",1995,82160,33.34,NA,NA,NA,9,11.3164238446024,2015,0,0,-20,"Rhode Island",53910.7611548556,10.895085387338,54.4991888973807,-2.86646622325834
"RI",1996,86973,33.34,NA,NA,NA,9,11.3733530046422,2015,0,0,-19,"Rhode Island",55432.1223709369,10.9229145308913,56.1134519039547,-1.26955410105581
"RI",1997,89198,33.34,NA,NA,NA,9,11.3986138967921,2015,0,0,-18,"Rhode Island",55575.0778816199,10.9254901402101,56.309009511594,-1.09134737778798
"RI",1998,69714,33.34,NA,NA,NA,9,11.1521564374109,2015,0,0,-17,"Rhode Island",42769.3251533742,10.6635764225922,43.3017636390804,-14.1159441346731
"RI",1999,66318,33.34,NA,NA,NA,9,11.102216632539,2015,0,0,-16,"Rhode Island",39806.7226890756,10.5917910887944,40.175574639844,-17.2594840182809
"RI",2000,74825,33.34,NA,NA,NA,9,11.2229073327209,2015,0,0,-15,"Rhode Island",43452.380952381,10.6794209267154,41.3726600756959,-16.0797494668005
