"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population"
"688",1989,"WA",58916,"Washington",NA,NA,NA,NA,4746.316
"689",1989,"WI",898,"Wisconsin",50,2006,0,-17,4856.574
"690",1989,"WV",135693,"West Virginia",50,2022,0,-33,1806.568
"691",1989,"WY",231741,"Wyoming",NA,NA,NA,NA,458.374
"692",1990,"AK",1103812,"Alaska",33.34,NA,NA,NA,553.12
"693",1990,"AL",59213,"Alabama",33.34,2021,0,-31,4048.508
"694",1990,"AR",15562,"Arkansas",33.34,2021,0,-31,2354.343
"695",1990,"AZ",0,"Arizona",33.34,2007,0,-17,3679.056
"696",1990,"CA",30854,"California",33.34,2011,0,-21,29950.111
"697",1990,"CO",14402,"Colorado",33.34,2009,0,-19,3303.862
"698",1990,"CT",NA,"Connecticut",50,2016,0,-26,3289.056
"699",1990,"DE",NA,"Delaware",33.34,2017,0,-27,669.063
"700",1990,"FL",65861,"Florida",50,NA,NA,NA,13018.365
"701",1990,"GA",NA,"Georgia",33.34,2006,0,-16,6506.531
"702",1990,"HI",NA,"Hawaii",33.34,NA,NA,NA,1112.703
"703",1990,"IA",NA,"Iowa",100,1978,1,12,2779.769
"704",1990,"ID",484,"Idaho",33.34,2022,0,-32,1011.882
"705",1990,"IL",0,"Illinois",50,1999,0,-9,11446.979
"706",1990,"IN",756,"Indiana",33.34,2007,0,-17,5555.097
"707",1990,"KS",86620,"Kansas",33.34,NA,NA,NA,2480.683
"708",1990,"KY",213893,"Kentucky",50,2018,0,-28,3692.584
"709",1990,"LA",429062,"Louisiana",33.34,2016,0,-26,4219.179
"710",1990,"MA",NA,"Massachusetts",50,2025,0,-35,6018.664
"711",1990,"MD",NA,"Maryland",33.34,2018,0,-28,4797.431
"712",1990,"ME",NA,"Maine",33.34,2007,0,-17,1231.296
"713",1990,"MI",45570,"Michigan",33.34,1991,0,-1,9310.462
"714",1990,"MN",2076,"Minnesota",70,2007,0,-17,4387.283
"715",1990,"MO",35,"Missouri",33.34,2020,0,-30,5126.37
"716",1990,"MS",45558,"Mississippi",33.34,NA,NA,NA,2577.426
"717",1990,"MT",95740,"Montana",33.34,2025,0,-35,799.824
"718",1990,"NC",1540,"North Carolina",50,2016,0,-26,6656.987
"719",1990,"ND",79576,"North Dakota",33.34,2016,0,-26,637.364
"720",1990,"NE",2729,"Nebraska",73.33,1988,1,2,1580.664
"721",1990,"NH",159,"New Hampshire",33.34,2022,0,-32,1111.831
"722",1990,"NJ",NA,"New Jersey",33.34,2012,0,-22,7757.158
"723",1990,"NM",292690,"New Mexico",33.34,NA,NA,NA,1519.933
"724",1990,"NV",22875,"Nevada",NA,NA,NA,NA,1218.629
"725",1990,"NY",NA,"New York",50,2015,0,-25,18002.855
"726",1990,"OH",9468,"Ohio",50,NA,NA,NA,10861.837
"727",1990,"OK",395292,"Oklahoma",33.34,NA,NA,NA,3147.105
"728",1990,"OR",52242,"Oregon",33.34,2004,0,-14,2858.547
"729",1990,"PA",NA,"Pennsylvania",33.34,2007,0,-17,11895.604
"730",1990,"RI",NA,"Rhode Island",33.34,2015,0,-25,1004.649
"731",1990,"SC",NA,"South Carolina",33.34,2007,0,-17,3499.064
"732",1990,"SD",8578,"South Dakota",NA,NA,NA,NA,696.667
"733",1990,"TN",1537,"Tennessee",33.34,2024,0,-34,4890.626
"734",1990,"TX",1087854,"Texas",NA,NA,NA,NA,17044.714
"735",1990,"UT",30096,"Utah",33.34,2011,0,-21,1729.722
"736",1990,"VA",1556,"Virginia",33.34,NA,NA,NA,6213.526
"737",1990,"VT",NA,"Vermont",33.34,2023,0,-33,564.526
"738",1990,"WA",69257,"Washington",NA,NA,NA,NA,4900.78
"739",1990,"WI",868,"Wisconsin",50,2006,0,-16,4902.265
"740",1990,"WV",162692,"West Virginia",50,2022,0,-32,1792.481
"741",1990,"WY",254024,"Wyoming",NA,NA,NA,NA,453.401
"742",1991,"AK",1284746,"Alaska",33.34,NA,NA,NA,569.273
"743",1991,"AL",71731,"Alabama",33.34,2021,0,-30,4091.025
"744",1991,"AR",16744,"Arkansas",33.34,2021,0,-30,2370.666
"745",1991,"AZ",0,"Arizona",50,2007,0,-16,3762.394
"746",1991,"CA",35649,"California",33.34,2011,0,-20,30414.114
"747",1991,"CO",10460,"Colorado",33.34,2009,0,-18,3367.567
"748",1991,"CT",NA,"Connecticut",50,2016,0,-25,3288.64
"749",1991,"DE",NA,"Delaware",33.34,2017,0,-26,680.495
"750",1991,"FL",71938,"Florida",50,NA,NA,NA,13289.497
"751",1991,"GA",NA,"Georgia",33.34,2006,0,-15,6621.279
"752",1991,"HI",NA,"Hawaii",33.34,NA,NA,NA,1131.412
"753",1991,"IA",NA,"Iowa",100,1978,1,13,2791.227
"754",1991,"ID",652,"Idaho",33.34,2022,0,-31,1038.915
"755",1991,"IL",0,"Illinois",50,1999,0,-8,11535.973
"756",1991,"IN",803,"Indiana",33.34,2007,0,-16,5602.062
"757",1991,"KS",99619,"Kansas",33.34,NA,NA,NA,2495.209
"758",1991,"KY",212596,"Kentucky",50,2018,0,-27,3714.686
"759",1991,"LA",578430,"Louisiana",33.34,2016,0,-25,4240.95
"760",1991,"MA",NA,"Massachusetts",50,2025,0,-34,5998.652
"761",1991,"MD",NA,"Maryland",33.34,2018,0,-27,4856.176
"762",1991,"ME",NA,"Maine",50,2007,0,-16,1235.439
"763",1991,"MI",48895,"Michigan",40,1991,1,0,9395.022
"764",1991,"MN",2212,"Minnesota",70,2007,0,-16,4427.429
"765",1991,"MO",42,"Missouri",33.34,2020,0,-29,5157.77
"766",1991,"MS",51182,"Mississippi",33.34,NA,NA,NA,2591.23
"767",1991,"MT",82913,"Montana",33.34,2025,0,-34,807.837
"768",1991,"NC",1648,"North Carolina",50,2016,0,-25,6748.135
"769",1991,"ND",108015,"North Dakota",33.34,2016,0,-25,634.199
"770",1991,"NE",3201,"Nebraska",86.67,1988,1,3,1590.805
"771",1991,"NH",127,"New Hampshire",33.34,2022,0,-31,1107.055
"772",1991,"NJ",NA,"New Jersey",33.34,2012,0,-21,7784.269
"773",1991,"NM",256431,"New Mexico",33.34,NA,NA,NA,1547.115
"774",1991,"NV",23951,"Nevada",NA,NA,NA,NA,1285.046
