"State_Acronym","year","year_effective","State_Name","log_ci","Post","rel_year","treated","event_id","year_event_id"
"ID",1992,2022,"Idaho",13.6555031777668,0,-30,0,"NE_1988","1992_NE_1988"
"IL",1984,1999,"Illinois",16.2792946472274,0,-15,0,"NE_1988","1984_NE_1988"
"IL",1985,1999,"Illinois",16.6862590891377,0,-14,0,"NE_1988","1985_NE_1988"
"IL",1986,1999,"Illinois",16.8832227373728,0,-13,0,"NE_1988","1986_NE_1988"
"IL",1987,1999,"Illinois",16.8863908875971,0,-12,0,"NE_1988","1987_NE_1988"
"IL",1988,1999,"Illinois",17.0077384598681,0,-11,0,"NE_1988","1988_NE_1988"
"IL",1989,1999,"Illinois",16.9225437927388,0,-10,0,"NE_1988","1989_NE_1988"
"IL",1990,1999,"Illinois",16.7892836931226,0,-9,0,"NE_1988","1990_NE_1988"
"IL",1991,1999,"Illinois",16.7909965433191,0,-8,0,"NE_1988","1991_NE_1988"
"IL",1992,1999,"Illinois",16.8221528914531,0,-7,0,"NE_1988","1992_NE_1988"
"IN",1984,2007,"Indiana",15.2813782858653,0,-23,0,"NE_1988","1984_NE_1988"
"IN",1985,2007,"Indiana",15.598038660045,0,-22,0,"NE_1988","1985_NE_1988"
"IN",1986,2007,"Indiana",15.6268820045077,0,-21,0,"NE_1988","1986_NE_1988"
"IN",1987,2007,"Indiana",15.7517480266936,0,-20,0,"NE_1988","1987_NE_1988"
"IN",1988,2007,"Indiana",15.8541492532248,0,-19,0,"NE_1988","1988_NE_1988"
"IN",1989,2007,"Indiana",15.9311351154277,0,-18,0,"NE_1988","1989_NE_1988"
"IN",1990,2007,"Indiana",16.1209679924213,0,-17,0,"NE_1988","1990_NE_1988"
"IN",1991,2007,"Indiana",16.0269924915734,0,-16,0,"NE_1988","1991_NE_1988"
"IN",1992,2007,"Indiana",16.799557172324,0,-15,0,"NE_1988","1992_NE_1988"
"KS",1984,NA,"Kansas",14.9263807440279,0,-99,0,"NE_1988","1984_NE_1988"
"KS",1985,NA,"Kansas",15.0819572535456,0,-99,0,"NE_1988","1985_NE_1988"
"KS",1986,NA,"Kansas",15.0609067759217,0,-99,0,"NE_1988","1986_NE_1988"
"KS",1987,NA,"Kansas",14.9292741503997,0,-99,0,"NE_1988","1987_NE_1988"
"KS",1988,NA,"Kansas",15.2845107441772,0,-99,0,"NE_1988","1988_NE_1988"
"KS",1989,NA,"Kansas",15.2986543177236,0,-99,0,"NE_1988","1989_NE_1988"
"KS",1990,NA,"Kansas",15.3581531824549,0,-99,0,"NE_1988","1990_NE_1988"
