"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population","Sev_cap","Sev_log","switch","state_rank","early_switch"
"529",2018,"MN",49623,"Minnesota",100,2007,1,11,5608.762,8.84740696788347,10.8122097149103,1,529,1
"530",2018,"PA",NA,"Pennsylvania",100,2007,1,11,12809.107,0,0,1,530,1
"531",2018,"SC",NA,"South Carolina",100,2007,1,11,5091.702,0,0,1,531,1
"532",2019,"AZ",17252,"Arizona",100,2007,1,12,7291.843,2.36593135644857,9.75568335776773,1,532,1
"533",2019,"IN",1118,"Indiana",100,2007,1,12,6731.01,0.166096915618904,7.01929665371504,1,533,1
"534",2019,"ME",NA,"Maine",100,2007,1,12,1345.77,0,0,1,534,1
"535",2019,"MN",60158,"Minnesota",100,2007,1,12,5640.053,10.6662118246052,11.0047297133903,1,535,1
"536",2019,"PA",NA,"Pennsylvania",100,2007,1,12,12798.883,0,0,1,536,1
"537",2019,"SC",NA,"South Carolina",100,2007,1,12,5157.702,0,0,1,537,1
"538",2020,"AZ",12704,"Arizona",100,2007,1,13,7186.683,1.76771397875766,9.44967218348692,1,538,1
"539",2020,"IN",852,"Indiana",100,2007,1,13,6789.098,0.125495316167185,6.74758652682932,1,539,1
"540",2020,"ME",NA,"Maine",100,2007,1,13,1364.517,0,0,1,540,1
"541",2020,"MN",56358,"Minnesota",100,2007,1,13,5710.578,9.86905353538643,10.9394794792226,1,541,1
"542",2020,"PA",NA,"Pennsylvania",100,2007,1,13,12995.477,0,0,1,542,1
"543",2020,"SC",NA,"South Carolina",100,2007,1,13,5132.151,0,0,1,543,1
"544",2021,"AZ",35610,"Arizona",100,2007,1,14,7272.487,4.89653676933352,10.4803817762718,1,544,1
"545",2021,"IN",768,"Indiana",100,2007,1,14,6813.798,0.11271246960946,6.64378973314767,1,545,1
"546",2021,"ME",NA,"Maine",100,2007,1,14,1378.787,0,0,1,546,1
"547",2021,"MN",64652,"Minnesota",100,2007,1,14,5717.968,11.3068138891298,11.0767743195297,1,547,1
"548",2021,"PA",NA,"Pennsylvania",100,2007,1,14,13013.614,0,0,1,548,1
"549",2021,"SC",NA,"South Carolina",100,2007,1,14,5193.848,0,0,1,549,1
"550",2022,"AZ",37355,"Arizona",100,2007,1,15,7365.684,5.07149098440824,10.5282220504099,1,550,1
"551",2022,"IN",1483,"Indiana",100,2007,1,15,6832.274,0.217058039534129,7.30182234213793,1,551,1
"552",2022,"ME",NA,"Maine",100,2007,1,15,1389.338,0,0,1,552,1
"553",2022,"MN",104616,"Minnesota",100,2007,1,15,5714.3,18.3077542306144,11.5580517825863,1,553,1
"554",2022,"PA",NA,"Pennsylvania",100,2007,1,15,12972.091,0,0,1,554,1
"555",2022,"SC",NA,"South Carolina",100,2007,1,15,5282.955,0,0,1,555,1
"556",1976,"CO",4375,"Colorado",33.34,2009,0,-33,2632.306,1.66204081136464,8.38366179879172,1,556,1
"557",1977,"CO",2320,"Colorado",33.34,2009,0,-32,2696.14,0.860489440459323,7.74932246466036,1,557,1
"558",1978,"CO",1838,"Colorado",33.34,2009,0,-31,2766.748,0.664317820054447,7.51643330291563,1,558,1
"559",1979,"CO",19803,"Colorado",33.34,2009,0,-30,2849.234,6.95028909524455,9.89358872035688,1,559,1
"560",1980,"CO",31121,"Colorado",33.34,2009,0,-29,2908.803,10.6989026070174,10.3456381114521,1,560,1
"561",1981,"CO",35879,"Colorado",33.34,2009,0,-28,2977.898,12.0484314775053,10.4879074451043,1,561,1
"562",1982,"CO",49184,"Colorado",33.34,2009,0,-27,3061.564,16.0649916186629,10.8033236463383,1,562,1
"563",1983,"CO",35902,"Colorado",33.34,2009,0,-26,3133.63,11.4570003478394,10.488548283231,1,563,1
"564",1984,"CO",30009,"Colorado",33.34,2009,0,-25,3169.992,9.46658540463194,10.3092526156533,1,564,1
"565",1985,"CO",30401,"Colorado",33.34,2009,0,-24,3208.723,9.47448564428902,10.3222307815901,1,565,1
"566",1986,"CO",22577,"Colorado",33.34,2009,0,-23,3237.45,6.97369843549707,10.024686967938,1,566,1
"567",1987,"CO",9694,"Colorado",33.34,2009,0,-22,3260.48,2.97318186279321,9.17926241640532,1,567,1
"568",1988,"CO",15330,"Colorado",33.34,2009,0,-21,3262.281,4.69916601298294,9.63756697186586,1,568,1
"569",1989,"CO",13787,"Colorado",33.34,2009,0,-20,3275.818,4.20871977625131,9.53148139817163,1,569,1
"570",1990,"CO",14402,"Colorado",33.34,2009,0,-19,3303.862,4.35914090842777,9.57512236480881,1,570,1
"571",1991,"CO",10460,"Colorado",33.34,2009,0,-18,3367.567,3.10610004195908,9.25531373761891,1,571,1
"572",1992,"CO",16046,"Colorado",33.34,2009,0,-17,3459.995,4.63757895603895,9.6832148763136,1,572,1
"573",1993,"CO",22813,"Colorado",33.34,2009,0,-16,3560.884,6.40655522617417,10.0350858278929,1,573,1
"574",1994,"CO",15409,"Colorado",33.34,2009,0,-15,3653.91,4.21712631126656,9.64270703328185,1,574,1
"575",1995,"CO",24648,"Colorado",33.34,2009,0,-14,3738.061,6.59379287817936,10.1124510402765,1,575,1
"576",1996,"CO",14839,"Colorado",33.34,2009,0,-13,3812.716,3.89197621852768,9.60501412900613,1,576,1
"577",1997,"CO",30274,"Colorado",33.34,2009,0,-12,3891.293,7.77993330237533,10.3180445373225,1,577,1
"578",1998,"CO",32625,"Colorado",33.34,2009,0,-11,3968.967,8.22002299338846,10.392834144625,1,578,1
"579",1999,"CO",33980,"Colorado",33.34,2009,0,-10,4056.133,8.37743732762215,10.4335273952259,1,579,1
"580",2000,"CO",31948,"Colorado",33.34,2009,0,-9,4326.921,7.38354132187761,10.3718648600373,1,580,1
"581",2001,"CO",61917,"Colorado",33.34,2009,0,-8,4425.687,13.9903703086097,11.0335500574775,1,581,1
"582",2002,"CO",57130,"Colorado",33.34,2009,0,-7,4490.406,12.7226803099764,10.9530846517185,1,582,1
"583",2003,"CO",37245,"Colorado",33.34,2009,0,-6,4528.732,8.22415634221676,10.5252729866104,1,583,1
"584",2004,"CO",115884,"Colorado",33.34,2009,0,-5,4575.013,25.3297640902878,11.6603449697549,1,584,1
"585",2005,"CO",145114,"Colorado",33.34,2009,0,-4,4631.888,31.3293412966807,11.8852749194005,1,585,1
"586",2006,"CO",212753,"Colorado",33.34,2009,0,-3,4720.423,45.0707489561847,12.2678871473938,1,586,1
"587",2007,"CO",136888,"Colorado",33.34,2009,0,-2,4803.868,28.495370813686,11.8269183522118,1,587,1
"588",2008,"CO",151474,"Colorado",33.34,2009,0,-1,4889.73,30.9779885596955,11.9281692720419,1,588,1
"589",2009,"CO",285015,"Colorado",100,2009,1,0,4972.195,57.3217663426314,12.5602970894447,1,589,1
"590",2010,"CO",71436,"Colorado",100,2009,1,1,5047.539,14.1526395338402,11.1765572229414,1,590,1
"591",2011,"CO",146690,"Colorado",100,2009,1,2,5121.9,28.6397625881021,11.8960767954818,1,591,1
"592",2012,"CO",175090,"Colorado",100,2009,1,3,5193.66,33.7122568670263,12.0730554064204,1,592,1
"593",2013,"CO",147732,"Colorado",100,2009,1,4,5270.774,28.0285210483318,11.9031551004356,1,593,1
"594",2014,"CO",245087,"Colorado",100,2009,1,5,5352.637,45.7880853866982,12.4093685285339,1,594,1
"595",2015,"CO",292683,"Colorado",100,2009,1,6,5454.328,53.6606892728123,12.5868453910479,1,595,1
"596",2016,"CO",84079,"Colorado",100,2009,1,7,5543.844,15.1661915450723,11.3395121120453,1,596,1
"597",2018,"CO",102722,"Colorado",100,2009,1,9,5697.155,18.0304028940761,11.5397815891392,1,597,1
"598",2019,"CO",217945,"Colorado",100,2009,1,10,5758.486,37.8476217533567,12.2919980163619,1,598,1
"599",2020,"CO",147878,"Colorado",100,2009,1,11,5785.219,25.5613486715023,11.9041428884798,1,599,1
"600",2022,"CO",306810,"Colorado",100,2009,1,13,5841.039,52.5266138438726,12.6339839424682,1,600,1
"601",1976,"CA",2334,"California",33.34,2011,0,-35,21935.909,0.106400879033552,7.7553388128465,1,601,1
"602",1976,"UT",11723,"Utah",33.34,2011,0,-35,1274.928,9.19502905262101,9.36930800307183,1,602,1
"603",1977,"CA",1530,"California",33.34,2011,0,-34,22352.396,0.0684490378570601,7.33302301438648,1,603,1
"604",1977,"UT",8931,"Utah",33.34,2011,0,-34,1319.512,6.76841135207562,9.09728364968389,1,604,1
"605",1978,"CA",31235,"California",33.34,2011,0,-33,22835.958,1.3677989773847,10.3492945399277,1,605,1
"606",1978,"UT",8926,"Utah",33.34,2011,0,-33,1367.51,6.52719175728148,9.09672364518921,1,606,1
"607",1979,"CA",48093,"California",33.34,2011,0,-32,23256.88,2.06790420727114,10.7808919153578,1,607,1
"608",1979,"UT",8993,"Utah",33.34,2011,0,-32,1420.238,6.33203730642329,9.10420177591451,1,608,1
"609",1980,"CA",25954,"California",33.34,2011,0,-31,23800.8,1.09046754730933,10.1640810192972,1,609,1
"610",1980,"UT",10584,"Utah",33.34,2011,0,-31,1472.595,7.18731219378037,9.26709870579479,1,610,1
"611",1981,"CA",21902,"California",33.34,2011,0,-30,24285.933,0.901838936968162,9.9943332358357,1,611,1
"612",1981,"UT",16041,"Utah",33.34,2011,0,-30,1515.471,10.5848280831504,9.68290322361684,1,612,1
"613",1982,"CA",27911,"California",33.34,2011,0,-29,24820.009,1.12453625621167,10.2367761553403,1,613,1
"614",1982,"UT",22295,"Utah",33.34,2011,0,-29,1558.314,14.3071293718724,10.0121177170616,1,614,1
"615",1983,"CA",28648,"California",33.34,2011,0,-28,25360.026,1.12965183868502,10.2628389116783,1,615,1
"616",1983,"UT",19688,"Utah",33.34,2011,0,-28,1594.943,12.3440148017829,9.88776459207089,1,616,1
"617",1984,"CA",17475,"California",33.34,2011,0,-27,25844.393,0.676162136986541,9.76852656710201,1,617,1
"618",1984,"UT",38416,"Utah",33.34,2011,0,-27,1622.342,23.6793475111906,10.556229318461,1,618,1
"619",1985,"CA",19081,"California",33.34,2011,0,-26,26441.109,0.721641440984945,9.85644835453034,1,619,1
"620",1985,"UT",49353,"Utah",33.34,2011,0,-26,1642.91,30.0399900177125,10.8067538332875,1,620,1
"621",1986,"CA",19195,"California",33.34,2011,0,-25,27102.237,0.708244120217826,9.8624051074349,1,621,1
"622",1986,"UT",43905,"Utah",33.34,2011,0,-25,1662.834,26.4037179898896,10.6897834877941,1,622,1
"623",1987,"CA",22847,"California",33.34,2011,0,-24,27777.158,0.82251035185097,10.0365750966745,1,623,1
"624",1987,"UT",21548,"Utah",33.34,2011,0,-24,1678.119,12.8405673256783,9.97803828380042,1,624,1
"625",1988,"CA",26145,"California",33.34,2011,0,-23,28464.249,0.918520632671531,10.1714132466222,1,625,1
"626",1988,"UT",29156,"Utah",33.34,2011,0,-23,1689.372,17.258484217804,10.2804160025021,1,626,1
"627",1989,"CA",29280,"California",33.34,2011,0,-22,29218.164,1.00211635474426,10.2846599680752,1,627,1
"628",1989,"UT",30630,"Utah",33.34,2011,0,-22,1705.864,17.9557104200569,10.3297351998268,1,628,1
"629",1990,"CA",30854,"California",33.34,2011,0,-21,29950.111,1.03017982137028,10.3370216805719,1,629,1
"630",1990,"UT",30096,"Utah",33.34,2011,0,-21,1729.722,17.3993277532459,10.3121475515408,1,630,1
"631",1991,"CA",35649,"California",33.34,2011,0,-20,30414.114,1.17212028599617,10.4814763749581,1,631,1
"632",1991,"UT",39851,"Utah",33.34,2011,0,-20,1771.941,22.4900264737934,10.5929027780064,1,632,1
"633",1992,"CA",29309,"California",33.34,2011,0,-19,30875.92,0.949251066850802,10.2856499150745,1,633,1
"634",1992,"UT",25776,"Utah",33.34,2011,0,-19,1821.498,14.150990009322,10.1571991054168,1,634,1
"635",1993,"CA",35407,"California",50,2011,0,-18,31147.208,1.13676320522854,10.4746648196869,1,635,1
"636",1993,"UT",20284,"Utah",33.34,2011,0,-18,1875.993,10.8124070825424,9.91758767691491,1,636,1
"637",1994,"CA",46373,"California",50,2011,0,-17,31317.179,1.48075278427856,10.7444726722951,1,637,1
"638",1994,"UT",18872,"Utah",33.34,2011,0,-17,1930.436,9.77602987097215,9.84543462108751,1,638,1
"639",1995,"CA",42242,"California",50,2011,0,-16,31493.525,1.34129158295237,10.6511702657441,1,639,1
"640",1995,"UT",21404,"Utah",33.34,2011,0,-16,1976.774,10.8277425745179,9.9713330994312,1,640,1
"641",1996,"CA",38184,"California",50,2011,0,-15,31780.829,1.20147904260144,10.5501718586857,1,641,1
"642",1996,"UT",20358,"Utah",33.34,2011,0,-15,2022.253,10.0669896397731,9.92122923401229,1,642,1
"643",1997,"CA",37416,"California",50,2011,0,-14,32217.708,1.16134890787389,10.5298536994057,1,643,1
"644",1997,"UT",25137,"Utah",33.34,2011,0,-14,2065.397,12.1705415472183,10.1320961432814,1,644,1
"645",1998,"CA",36247,"California",50,2011,0,-13,32682.794,1.10905450739615,10.4981118982374,1,645,1
"646",1998,"UT",23009,"Utah",33.34,2011,0,-13,2100.562,10.9537352384743,10.0436407227195,1,646,1
"647",1999,"CA",33742,"California",50,2011,0,-12,33145.121,1.01800805011392,10.4264986311659,1,647,1
"648",1999,"UT",14513,"Utah",33.34,2011,0,-12,2129.836,6.81413968023829,9.58280007847036,1,648,1
"649",2000,"CA",24697,"California",50,2011,0,-11,33987.977,0.72663930542262,10.1144370577496,1,649,1
"650",2000,"UT",26689,"Utah",33.34,2011,0,-11,2244.502,11.8908336905024,10.1920067744805,1,650,1
"651",2001,"CA",24636,"California",50,2011,0,-10,34479.458,0.714512391697108,10.1119640668069,1,651,1
"652",2001,"UT",51853,"Utah",33.34,2011,0,-10,2283.715,22.7055477588053,10.8561680711932,1,652,1
"653",2002,"CA",28569,"California",50,2011,0,-9,34871.843,0.819256957540214,10.2600774928622,1,653,1
"654",2002,"UT",28972,"Utah",33.34,2011,0,-9,2324.815,12.4620668741384,10.2740851253152,1,654,1
"655",2003,"CA",12485,"California",50,2011,0,-8,35253.159,0.354152659056739,9.43228320271387,1,655,1
"656",2003,"UT",37788,"Utah",33.34,2011,0,-8,2360.137,16.0109349584367,10.539746870889,1,656,1
"657",2004,"CA",14471,"California",50,2011,0,-7,35574.576,0.406779268430353,9.57990192573799,1,657,1
"658",2004,"UT",50009,"Utah",33.34,2011,0,-7,2401.58,20.823374611714,10.8199582682122,1,658,1
"659",2005,"CA",14251,"California",50,2011,0,-6,35827.943,0.397762160110615,9.56458235867321,1,659,1
"660",2005,"UT",73434,"Utah",33.34,2011,0,-6,2457.719,29.8789243196639,11.2041423226104,1,660,1
"661",2006,"CA",16048,"California",50,2011,0,-5,36021.202,0.44551539396159,9.68333951020172,1,661,1
"662",2006,"UT",99517,"Utah",50,2011,0,-5,2525.507,39.4047611034141,11.5080837628241,1,662,1
"663",2007,"CA",31526,"California",50,2011,0,-4,36250.311,0.869675297406414,10.3585678811865,1,663,1
"664",2007,"UT",101539,"Utah",50,2011,0,-4,2597.746,39.0873472618185,11.5281982401173,1,664,1
"665",2008,"CA",31599,"California",50,2011,0,-3,36604.337,0.86325836198044,10.3608807535047,1,665,1
"666",2008,"UT",106060,"Utah",50,2011,0,-3,2663.029,39.8268287727997,11.5717602506911,1,666,1
"667",2009,"CA",27105,"California",50,2011,0,-2,36961.229,0.733336004600929,10.2074734916944,1,667,1
"668",2009,"UT",102121,"Utah",50,2011,0,-2,2723.421,37.4973241375461,11.5339136637086,1,668,1
"669",2010,"CA",24409,"California",50,2011,0,-1,37319.55,0.654053974391438,10.102707195731,1,669,1
"670",2010,"UT",89162,"Utah",50,2011,0,-1,2775.413,32.1256692247244,11.3982102188319,1,670,1
"671",2011,"CA",31879,"California",100,2011,1,0,37636.311,0.847027754659589,10.3697027647836,1,671,1
"672",2011,"UT",101665,"Utah",66.66,2011,1,0,2814.797,36.1180575366536,11.5294383733444,1,672,1
"673",2012,"CA",37112,"California",100,2011,1,1,37944.551,0.978058746827707,10.5216956464316,1,673,1
"674",2012,"UT",107075,"Utah",83.34,2011,1,1,2854.146,37.5156001129585,11.5812848024836,1,674,1
"675",2013,"CA",37732,"California",100,2011,1,2,38253.768,0.986360350175178,10.5382638197697,1,675,1
"676",2013,"UT",112050,"Utah",100,2011,1,2,2898.773,38.6542857960937,11.6267004792291,1,676,1
"677",2014,"CA",39445,"California",100,2011,1,3,38586.706,1.02224325652467,10.5826625755292,1,677,1
"678",2014,"UT",155743,"Utah",100,2011,1,3,2938.327,53.0039713074821,11.9559624918195,1,678,1
"679",2015,"CA",67500,"California",100,2011,1,4,38904.296,1.7350268978007,11.1198828768606,1,679,1
"680",2015,"UT",130212,"Utah",100,2011,1,4,2983.626,43.6421991228123,11.7769191704082,1,680,1
"681",2016,"CA",68500,"California",100,2011,1,5,39149.186,1.74971709501189,11.1345890242503,1,681,1
"682",2016,"UT",52823,"Utah",100,2011,1,5,3044.241,17.3517799674861,10.8747019809062,1,682,1
"683",2017,"CA",93928,"California",100,2011,1,6,39337.785,2.38772976160198,11.45028381031,1,683,1
"684",2017,"UT",29589,"Utah",100,2011,1,6,3103.54,9.53395155209857,10.2951579496221,1,684,1
"685",2018,"CA",108912,"California",100,2011,1,7,39437.463,2.76163809015808,11.5982954956877,1,685,1
"686",2018,"UT",42015,"Utah",100,2011,1,7,3155.153,13.3163114435338,10.6457819763623,1,686,1
"687",2019,"CA",114081,"California",100,2011,1,8,39437.61,2.89269557663357,11.6446640013881,1,687,1
"688",2019,"UT",45797,"Utah",100,2011,1,8,3203.383,14.2964484733796,10.7319738657735,1,688,1
"689",2020,"CA",119680,"California",100,2011,1,9,39503.2,3.02962797950546,11.6925767932083,1,689,1
"690",2020,"UT",53188,"Utah",100,2011,1,9,3283.982,16.1961910875273,10.8815880859766,1,690,1
"691",2021,"CA",130748,"California",100,2011,1,10,39145.06,3.34008940080817,11.7810270854431,1,691,1
"692",2021,"UT",37985,"Utah",100,2011,1,10,3339.284,11.3751930054467,10.5449466239373,1,692,1
"693",2022,"CA",128600,"California",100,2011,1,11,39040.616,3.29400540196394,11.7644620907857,1,693,1
"694",2022,"UT",97393,"Utah",100,2011,1,11,3381.236,28.8039639942317,11.4865096184648,1,694,1
"695",1976,"NJ",NA,"New Jersey",33.34,2012,0,-36,7339.745,0,0,1,695,1
"696",1977,"NJ",NA,"New Jersey",33.34,2012,0,-35,7337.169,0,0,1,696,1
"697",1978,"NJ",NA,"New Jersey",33.34,2012,0,-34,7350.804,0,0,1,697,1
"698",1979,"NJ",NA,"New Jersey",33.34,2012,0,-33,7366.512,0,0,1,698,1
"699",1980,"NJ",NA,"New Jersey",33.34,2012,0,-32,7376.33,0,0,1,699,1
"700",1981,"NJ",NA,"New Jersey",33.34,2012,0,-31,7407.472,0,0,1,700,1
"701",1982,"NJ",NA,"New Jersey",33.34,2012,0,-30,7430.968,0,0,1,701,1
"702",1983,"NJ",NA,"New Jersey",33.34,2012,0,-29,7467.785,0,0,1,702,1
"703",1984,"NJ",NA,"New Jersey",33.34,2012,0,-28,7515.473,0,0,1,703,1
"704",1985,"NJ",NA,"New Jersey",33.34,2012,0,-27,7565.528,0,0,1,704,1
"705",1986,"NJ",NA,"New Jersey",33.34,2012,0,-26,7622.159,0,0,1,705,1
"706",1987,"NJ",NA,"New Jersey",33.34,2012,0,-25,7670.742,0,0,1,706,1
"707",1988,"NJ",NA,"New Jersey",33.34,2012,0,-24,7712.333,0,0,1,707,1
"708",1989,"NJ",NA,"New Jersey",33.34,2012,0,-23,7726.089,0,0,1,708,1
"709",1990,"NJ",NA,"New Jersey",33.34,2012,0,-22,7757.158,0,0,1,709,1
"710",1991,"NJ",NA,"New Jersey",33.34,2012,0,-21,7784.269,0,0,1,710,1
"711",1992,"NJ",NA,"New Jersey",33.34,2012,0,-20,7827.77,0,0,1,711,1
"712",1993,"NJ",NA,"New Jersey",33.34,2012,0,-19,7874.891,0,0,1,712,1
"713",1994,"NJ",NA,"New Jersey",33.34,2012,0,-18,7918.796,0,0,1,713,1
"714",1995,"NJ",NA,"New Jersey",33.34,2012,0,-17,7965.523,0,0,1,714,1
"715",1996,"NJ",NA,"New Jersey",50,2012,0,-16,8009.624,0,0,1,715,1
"716",1997,"NJ",NA,"New Jersey",50,2012,0,-15,8054.178,0,0,1,716,1
"717",1998,"NJ",NA,"New Jersey",50,2012,0,-14,8095.542,0,0,1,717,1
"718",1999,"NJ",NA,"New Jersey",50,2012,0,-13,8143.412,0,0,1,718,1
"719",2000,"NJ",NA,"New Jersey",50,2012,0,-12,8430.621,0,0,1,719,1
"720",2001,"NJ",NA,"New Jersey",50,2012,0,-11,8492.671,0,0,1,720,1
"721",2002,"NJ",NA,"New Jersey",50,2012,0,-10,8552.643,0,0,1,721,1
"722",2003,"NJ",NA,"New Jersey",50,2012,0,-9,8601.402,0,0,1,722,1
"723",2004,"NJ",NA,"New Jersey",50,2012,0,-8,8634.561,0,0,1,723,1
"724",2005,"NJ",NA,"New Jersey",50,2012,0,-7,8651.974,0,0,1,724,1
"725",2006,"NJ",NA,"New Jersey",50,2012,0,-6,8661.679,0,0,1,725,1
"726",2007,"NJ",NA,"New Jersey",50,2012,0,-5,8677.885,0,0,1,726,1
"727",2008,"NJ",NA,"New Jersey",50,2012,0,-4,8711.09,0,0,1,727,1
"728",2009,"NJ",NA,"New Jersey",50,2012,0,-3,8755.602,0,0,1,728,1
"729",2010,"NJ",NA,"New Jersey",50,2012,0,-2,8799.451,0,0,1,729,1
"730",2011,"NJ",NA,"New Jersey",50,2012,0,-1,8828.552,0,0,1,730,1
"731",2012,"NJ",NA,"New Jersey",70,2012,1,0,8845.671,0,0,1,731,1
"732",2013,"NJ",NA,"New Jersey",90,2012,1,1,8857.821,0,0,1,732,1
"733",2014,"NJ",NA,"New Jersey",100,2012,1,2,8867.277,0,0,1,733,1
"734",2015,"NJ",NA,"New Jersey",100,2012,1,3,8870.312,0,0,1,734,1
"735",2016,"NJ",NA,"New Jersey",100,2012,1,4,8873.584,0,0,1,735,1
"736",2017,"NJ",NA,"New Jersey",100,2012,1,5,8888.147,0,0,1,736,1
"737",2018,"NJ",NA,"New Jersey",100,2012,1,6,8891.73,0,0,1,737,1
"738",2019,"NJ",NA,"New Jersey",100,2012,1,7,8891.258,0,0,1,738,1
"739",2020,"NJ",NA,"New Jersey",100,2012,1,8,9272.392,0,0,1,739,1
"740",2021,"NJ",NA,"New Jersey",100,2012,1,9,9269.175,0,0,1,740,1
"741",2022,"NJ",NA,"New Jersey",100,2012,1,10,9260.817,0,0,1,741,1
"742",1976,"NY",NA,"New York",50,2015,0,-39,17940.541,0,0,1,742,1
"743",1976,"RI",NA,"Rhode Island",33.34,2015,0,-39,946.089,0,0,1,743,1
"744",1977,"NY",NA,"New York",50,2015,0,-38,17812.602,0,0,1,744,1
"745",1977,"RI",NA,"Rhode Island",33.34,2015,0,-38,950.23,0,0,1,745,1
"746",1978,"NY",NA,"New York",50,2015,0,-37,17680.589,0,0,1,746,1
"747",1978,"RI",NA,"Rhode Island",33.34,2015,0,-37,951.816,0,0,1,747,1
"748",1979,"NY",NA,"New York",50,2015,0,-36,17583.838,0,0,1,748,1
"749",1979,"RI",NA,"Rhode Island",33.34,2015,0,-36,950.382,0,0,1,749,1
"750",1980,"NY",NA,"New York",50,2015,0,-35,17566.754,0,0,1,750,1
"751",1980,"RI",NA,"Rhode Island",33.34,2015,0,-35,948.773,0,0,1,751,1
"752",1981,"NY",NA,"New York",50,2015,0,-34,17567.734,0,0,1,752,1
"753",1981,"RI",NA,"Rhode Island",33.34,2015,0,-34,953.013,0,0,1,753,1
"754",1982,"NY",NA,"New York",50,2015,0,-33,17589.738,0,0,1,754,1
"755",1982,"RI",NA,"Rhode Island",33.34,2015,0,-33,954.17,0,0,1,755,1
"756",1983,"NY",NA,"New York",50,2015,0,-32,17686.905,0,0,1,756,1
"757",1983,"RI",NA,"Rhode Island",33.34,2015,0,-32,956.382,0,0,1,757,1
"758",1984,"NY",NA,"New York",50,2015,0,-31,17745.684,0,0,1,758,1
"759",1984,"RI",NA,"Rhode Island",33.34,2015,0,-31,961.894,0,0,1,759,1
"760",1985,"NY",NA,"New York",50,2015,0,-30,17791.672,0,0,1,760,1
"761",1985,"RI",NA,"Rhode Island",33.34,2015,0,-30,968.955,0,0,1,761,1
"762",1986,"NY",NA,"New York",50,2015,0,-29,17833.419,0,0,1,762,1
"763",1986,"RI",NA,"Rhode Island",33.34,2015,0,-29,977.341,0,0,1,763,1
"764",1987,"NY",NA,"New York",50,2015,0,-28,17868.848,0,0,1,764,1
"765",1987,"RI",NA,"Rhode Island",33.34,2015,0,-28,989.604,0,0,1,765,1
"766",1988,"NY",NA,"New York",50,2015,0,-27,17941.309,0,0,1,766,1
"767",1988,"RI",NA,"Rhode Island",33.34,2015,0,-27,996.408,0,0,1,767,1
"768",1989,"NY",NA,"New York",50,2015,0,-26,17983.086,0,0,1,768,1
"769",1989,"RI",NA,"Rhode Island",33.34,2015,0,-26,1000.666,0,0,1,769,1
"770",1990,"NY",NA,"New York",50,2015,0,-25,18002.855,0,0,1,770,1
"771",1990,"RI",NA,"Rhode Island",33.34,2015,0,-25,1004.649,0,0,1,771,1
"772",1991,"NY",NA,"New York",50,2015,0,-24,18029.532,0,0,1,772,1
"773",1991,"RI",NA,"Rhode Island",33.34,2015,0,-24,1003.99,0,0,1,773,1
"774",1992,"NY",NA,"New York",50,2015,0,-23,18082.032,0,0,1,774,1
"775",1992,"RI",NA,"Rhode Island",33.34,2015,0,-23,1000.571,0,0,1,775,1
"776",1993,"NY",NA,"New York",50,2015,0,-22,18140.894,0,0,1,776,1
"777",1993,"RI",NA,"Rhode Island",33.34,2015,0,-22,997.852,0,0,1,777,1
"778",1994,"NY",NA,"New York",50,2015,0,-21,18156.652,0,0,1,778,1
"779",1994,"RI",NA,"Rhode Island",33.34,2015,0,-21,993.412,0,0,1,779,1
"780",1995,"NY",NA,"New York",50,2015,0,-20,18150.928,0,0,1,780,1
"781",1995,"RI",NA,"Rhode Island",33.34,2015,0,-20,989.203,0,0,1,781,1
"782",1996,"NY",NA,"New York",50,2015,0,-19,18143.805,0,0,1,782,1
"783",1996,"RI",NA,"Rhode Island",33.34,2015,0,-19,987.858,0,0,1,783,1
"784",1997,"NY",NA,"New York",50,2015,0,-18,18143.184,0,0,1,784,1
"785",1997,"RI",NA,"Rhode Island",33.34,2015,0,-18,986.966,0,0,1,785,1
"786",1998,"NY",NA,"New York",50,2015,0,-17,18159.175,0,0,1,786,1
"787",1998,"RI",NA,"Rhode Island",33.34,2015,0,-17,987.704,0,0,1,787,1
"788",1999,"NY",NA,"New York",50,2015,0,-16,18196.601,0,0,1,788,1
"789",1999,"RI",NA,"Rhode Island",33.34,2015,0,-16,990.819,0,0,1,789,1
"790",2000,"NY",NA,"New York",50,2015,0,-15,19001.78,0,0,1,790,1
"791",2000,"RI",NA,"Rhode Island",33.34,2015,0,-15,1050.268,0,0,1,791,1
"792",2001,"NY",NA,"New York",50,2015,0,-14,19082.838,0,0,1,792,1
"793",2001,"RI",NA,"Rhode Island",33.34,2015,0,-14,1057.142,0,0,1,793,1
"794",2002,"NY",NA,"New York",50,2015,0,-13,19137.8,0,0,1,794,1
"795",2002,"RI",NA,"Rhode Island",33.34,2015,0,-13,1065.995,0,0,1,795,1
"796",2003,"NY",NA,"New York",50,2015,0,-12,19175.939,0,0,1,796,1
"797",2003,"RI",NA,"Rhode Island",33.34,2015,0,-12,1071.342,0,0,1,797,1
"798",2004,"NY",NA,"New York",50,2015,0,-11,19171.567,0,0,1,798,1
"799",2004,"RI",NA,"Rhode Island",33.34,2015,0,-11,1074.579,0,0,1,799,1
"800",2005,"NY",NA,"New York",50,2015,0,-10,19132.61,0,0,1,800,1
"801",2005,"RI",NA,"Rhode Island",33.34,2015,0,-10,1067.916,0,0,1,801,1
