"","year","State_Acronym","SVRNCTAX","state","sales","year_effective","post_eff","rel_year","population","Sev_cap","Sev_log","switch","state_rank","early_switch"
"166",1984,"OR",29188,"Oregon",33.34,2004,0,-20,2666.588,10.9458229017756,10.2815129448855,1,166,1
"167",1985,"OR",31774,"Oregon",33.34,2004,0,-19,2672.652,11.8885661133586,10.36640362428,1,167,1
"168",1986,"OR",32415,"Oregon",33.34,2004,0,-18,2683.528,12.0792479154307,10.3863765576091,1,168,1
"169",1987,"OR",33309,"Oregon",33.34,2004,0,-17,2700.991,12.3321403144253,10.4135829097224,1,169,1
"170",1988,"OR",31972,"Oregon",33.34,2004,0,-16,2741.297,11.6630923245456,10.3726157987459,1,170,1
"171",1989,"OR",37454,"Oregon",33.34,2004,0,-15,2790.575,13.421606658126,10.5308687923205,1,171,1
"172",1990,"OR",52242,"Oregon",33.34,2004,0,-14,2858.547,18.2757183981932,10.8636420480567,1,172,1
"173",1991,"OR",63079,"Oregon",50,2004,0,-13,2918.745,21.6116858444297,11.0521431880661,1,173,1
"174",1992,"OR",63788,"Oregon",50,2004,0,-12,2973.934,21.4490301398753,11.0633203638679,1,174,1
"175",1993,"OR",70192,"Oregon",50,2004,0,-11,3034.49,23.1313993455243,11.158989623406,1,175,1
"176",1994,"OR",74744,"Oregon",50,2004,0,-10,3087.142,24.2113903409691,11.2218242204728,1,176,1
"177",1995,"OR",77847,"Oregon",50,2004,0,-9,3141.421,24.7808237100344,11.2625006408742,1,177,1
"178",1996,"OR",64409,"Oregon",50,2004,0,-8,3195.087,20.1587625000509,11.0730086538809,1,178,1
"179",1997,"OR",52898,"Oregon",50,2004,0,-7,3243.254,16.3101625712941,10.8761208099483,1,179,1
"180",1998,"OR",45839,"Oregon",50,2004,0,-6,3282.055,13.9665544910125,10.7328905361419,1,180,1
"181",1999,"OR",49558,"Oregon",50,2004,0,-5,3316.154,14.9444205546546,10.8108989798037,1,181,1
"182",2000,"OR",38899,"Oregon",50,2004,0,-4,3429.708,11.3417818659781,10.5687238223352,1,182,1
"183",2001,"OR",34923,"Oregon",50,2004,0,-3,3467.937,10.0702521412586,10.4609009169164,1,183,1
"184",2002,"OR",29612,"Oregon",50,2004,0,-2,3513.424,8.42824549499292,10.295934963563,1,184,1
"185",2003,"OR",25797,"Oregon",50,2004,0,-1,3547.376,7.27213579840423,10.158013485079,1,185,1
"186",2004,"OR",16603,"Oregon",80,2004,1,0,3569.463,4.65139994447344,9.71733868090779,1,186,1
"187",2005,"OR",12148,"Oregon",80,2004,1,1,3613.202,3.36211482225461,9.40491982616564,1,187,1
"188",2006,"OR",12032,"Oregon",100,2004,1,2,3670.883,3.2776855050951,9.39532504618962,1,188,1
"189",2007,"OR",12513,"Oregon",100,2004,1,3,3722.417,3.36152558942214,9.43452338286506,1,189,1
"190",2008,"OR",11815,"Oregon",100,2004,1,4,3768.748,3.13499337180411,9.37712518962101,1,190,1
"191",2009,"OR",13038,"Oregon",100,2004,1,5,3808.6,3.42330515149924,9.47562344948448,1,191,1
"192",2010,"OR",12742,"Oregon",100,2004,1,6,3837.614,3.32029224408708,9.45265890267643,1,192,1
"193",2011,"OR",13199,"Oregon",100,2004,1,7,3872.672,3.40824113170441,9.48789634812895,1,193,1
"194",2012,"OR",14119,"Oregon",100,2004,1,8,3900.102,3.6201617291035,9.55527668700953,1,194,1
"195",2013,"OR",23305,"Oregon",100,2004,1,9,3924.11,5.93892627882501,10.0564232088068,1,195,1
"196",2014,"OR",23424,"Oregon",100,2004,1,10,3965.447,5.90702637054536,10.061516416761,1,196,1
"197",2015,"OR",24149,"Oregon",100,2004,1,11,4018.542,6.00939345663178,10.0919982503559,1,197,1
"198",2016,"OR",13590,"Oregon",100,2004,1,12,4093.271,3.32008313155909,9.51708950714519,1,198,1
"199",2017,"OR",15293,"Oregon",100,2004,1,13,4147.294,3.68746464562194,9.63515048634812,1,199,1
"200",2018,"OR",15682,"Oregon",100,2004,1,14,4183.538,3.74850186612384,9.66026883679087,1,200,1
"201",2019,"OR",16218,"Oregon",100,2004,1,15,4216.116,3.84666835542476,9.6938770155045,1,201,1
"202",2020,"OR",15521,"Oregon",100,2004,1,16,4245.044,3.65626363354538,9.64994922465118,1,202,1
"203",2021,"OR",15482,"Oregon",100,2004,1,17,4256.465,3.63729056858215,9.64743333776466,1,203,1
"204",2022,"OR",16484,"Oregon",100,2004,1,18,4239.379,3.88830533906027,9.71014549245871,1,204,1
"205",1976,"GA",NA,"Georgia",33.34,2006,0,-30,5132.812,0,0,1,205,1
"206",1976,"WI",478,"Wisconsin",50,2006,0,-30,4595.904,0.10400565372993,6.16961073249146,1,206,1
"207",1977,"GA",NA,"Georgia",33.34,2006,0,-29,5219.697,0,0,1,207,1
"208",1977,"WI",698,"Wisconsin",50,2006,0,-29,4626.514,0.15086953157388,6.54821910276237,1,208,1
"209",1978,"GA",NA,"Georgia",33.34,2006,0,-28,5295.751,0,0,1,209,1
"210",1978,"WI",602,"Wisconsin",50,2006,0,-28,4646.108,0.129570814970293,6.40025744530882,1,210,1
"211",1979,"GA",NA,"Georgia",33.34,2006,0,-27,5401.384,0,0,1,211,1
"212",1979,"WI",362,"Wisconsin",50,2006,0,-27,4682.811,0.0773039953993445,5.89164421182577,1,212,1
"213",1980,"GA",NA,"Georgia",33.34,2006,0,-26,5486.174,0,0,1,213,1
"214",1980,"WI",437,"Wisconsin",50,2006,0,-26,4712.045,0.0927410497989726,6.07993319509559,1,214,1
"215",1981,"GA",NA,"Georgia",33.34,2006,0,-25,5568.345,0,0,1,215,1
"216",1981,"WI",554,"Wisconsin",50,2006,0,-25,4726.343,0.117215360797978,6.31716468674728,1,216,1
"217",1982,"GA",NA,"Georgia",33.34,2006,0,-24,5649.792,0,0,1,217,1
"218",1982,"WI",837,"Wisconsin",50,2006,0,-24,4728.87,0.176997887444569,6.72982407048948,1,218,1
"219",1983,"GA",NA,"Georgia",33.34,2006,0,-23,5728.25,0,0,1,219,1
"220",1983,"WI",952,"Wisconsin",50,2006,0,-23,4721.438,0.201633485391527,6.85856503479136,1,220,1
"221",1984,"GA",NA,"Georgia",33.34,2006,0,-22,5834.954,0,0,1,221,1
"222",1984,"WI",875,"Wisconsin",50,2006,0,-22,4735.563,0.184772116852843,6.77422388635761,1,222,1
"223",1985,"GA",NA,"Georgia",33.34,2006,0,-21,5962.661,0,0,1,223,1
"224",1985,"WI",959,"Wisconsin",50,2006,0,-21,4747.767,0.20198969326001,6.86589107488344,1,224,1
"225",1986,"GA",NA,"Georgia",33.34,2006,0,-20,6084.666,0,0,1,225,1
"226",1986,"WI",834,"Wisconsin",50,2006,0,-20,4755.618,0.175371529000016,6.72623340235875,1,226,1
"227",1987,"GA",NA,"Georgia",33.34,2006,0,-19,6208.467,0,0,1,227,1
"228",1987,"WI",1071,"Wisconsin",50,2006,0,-19,4777.919,0.22415616505847,6.97634807044775,1,228,1
"229",1988,"GA",NA,"Georgia",33.34,2006,0,-18,6316.142,0,0,1,229,1
"230",1988,"WI",915,"Wisconsin",50,2006,0,-18,4822.388,0.189740020919097,6.81892406527552,1,230,1
"231",1989,"GA",NA,"Georgia",33.34,2006,0,-17,6411.099,0,0,1,231,1
"232",1989,"WI",898,"Wisconsin",50,2006,0,-17,4856.574,0.18490400846358,6.8001700683022,1,232,1
"233",1990,"GA",NA,"Georgia",33.34,2006,0,-16,6506.531,0,0,1,233,1
"234",1990,"WI",868,"Wisconsin",50,2006,0,-16,4902.265,0.17706101159362,6.76619171466035,1,234,1
"235",1991,"GA",NA,"Georgia",33.34,2006,0,-15,6621.279,0,0,1,235,1
"236",1991,"WI",1334,"Wisconsin",50,2006,0,-15,4952.675,0.269349391995235,7.19593722647557,1,236,1
"237",1992,"GA",NA,"Georgia",33.34,2006,0,-14,6759.474,0,0,1,237,1
"238",1992,"WI",1275,"Wisconsin",50,2006,0,-14,5004.636,0.254763783020383,7.15070145759253,1,238,1
"239",1993,"GA",NA,"Georgia",33.34,2006,0,-13,6894.092,0,0,1,239,1
"240",1993,"WI",1349,"Wisconsin",50,2006,0,-13,5055.318,0.266847703744849,7.20711885620776,1,240,1
"241",1994,"GA",NA,"Georgia",33.34,2006,0,-12,7045.9,0,0,1,241,1
"242",1994,"WI",1881,"Wisconsin",50,2006,0,-12,5095.504,0.369148959553363,7.53955882930103,1,242,1
"243",1995,"GA",NA,"Georgia",50,2006,0,-11,7188.538,0,0,1,243,1
"244",1995,"WI",2255,"Wisconsin",50,2006,0,-11,5137.004,0.438971820929086,7.72090525193678,1,244,1
"245",1996,"GA",NA,"Georgia",50,2006,0,-10,7332.225,0,0,1,245,1
"246",1996,"WI",2627,"Wisconsin",50,2006,0,-10,5173.828,0.507747841636792,7.87359778968554,1,246,1
"247",1997,"GA",NA,"Georgia",50,2006,0,-9,7486.094,0,0,1,247,1
"248",1997,"WI",2181,"Wisconsin",50,2006,0,-9,5200.235,0.419404123082899,7.68753876620163,1,248,1
"249",1998,"GA",NA,"Georgia",50,2006,0,-8,7636.522,0,0,1,249,1
"250",1998,"WI",2945,"Wisconsin",50,2006,0,-8,5222.124,0.563946777211725,7.98786409608569,1,250,1
"251",1999,"GA",NA,"Georgia",50,2006,0,-7,7788.24,0,0,1,251,1
"252",1999,"WI",2456,"Wisconsin",50,2006,0,-7,5250.446,0.467769785652495,7.80628928926703,1,252,1
"253",2000,"GA",NA,"Georgia",50,2006,0,-6,8227.303,0,0,1,253,1
