"","State_Acronym","year","BUSLICTAX","CORPINCTX","CORPLICTAX","PROPTAX","SLGRTAX","SVRNCTAX","TLINCTAX","TLSLTAX","TOTLTAX","INCTAX","SALESTAX","state","sales","Region","Number","perc_change_Sales","perc_change_CIT_Rev"
"94","IN",2006,44032,1043873,6847,7569,7573932,947,5425421,2239657,13625667,4381548,NA,"Indiana",50,NA,NA,0,0.234466667558564
"95","IN",2007,39189,987111,7111,5427,7942905,1003,5602716,2519404,14198709,4615605,NA,"Indiana",60,NA,NA,0.181818181818182,-0.0558960582653531
"96","IN",2008,43592,909494,3364,7170,8396009,1680,5747018,2657180,15117458,4837524,NA,"Indiana",70,NA,NA,0.153846153846154,-0.0818483553507452
"97","IN",2009,40733,838974,3629,7499,8856580,1475,5152733,2650942,14901436,4313759,NA,"Indiana",80,NA,NA,0.133333333333333,-0.080664902074273
"98","IN",2010,41033,597347,10206,0,8490450,1426,4465440,2549406,13795221,3868093,NA,"Indiana",90,NA,NA,0.117647058823529,-0.336452645334852
"99","IN",2011,35082,681537,7171,5232,8987066,1825,5265514,2717345,15060893,4583977,NA,"Indiana",100,NA,NA,0.105263157894737,0.131661667516366
"100","IN",2012,43865,794508,7113,6336,9925550,2212,5559975,3293596,16289491,4765467,NA,"Indiana",100,NA,NA,0,0.153072568925744
"101","KY",1984,20951,198261,19850,229616,1259443,210704,908735,505123,2798662,710474,NA,"Kentucky",33.34,NA,NA,0,NA
"102","KY",1985,21003,211284,20202,234713,1352422,227995,987853,531940,3012713,776569,NA,"Kentucky",33.34,NA,NA,0,0.063597406878365
"103","KY",1986,24396,233524,42592,254518,1434204,229296,1053417,552930,3216343,819893,NA,"Kentucky",50,NA,NA,0.399808015358771,0.0999982014711966
"104","KY",1987,20994,267378,64685,251308,1569080,203142,1188346,677038,3521861,920968,NA,"Kentucky",50,NA,NA,0,0.135172149442406
"105","KY",2016,130826,606840,109321,577544,5603120,149403,4888920,2140416,11778866,4282080,NA,"Kentucky",50,NA,NA,0,0.776607207813154
"106","KY",2017,125994,458650,110072,709772,5649708,145122,4852835,2159069,11907759,4394185,NA,"Kentucky",50,NA,NA,0,-0.278163098668218
"107","KY",2018,112292,749500,115618,660902,5714427,122972,5248586,2113829,12297789,4499086,NA,"Kentucky",100,NA,NA,0.666666666666667,0.481479948681869
"108","KY",2019,129033,762700,117710,648739,6311232,127758,5391757,2326479,13049436,4629057,NA,"Kentucky",100,NA,NA,0,0.0174580081999735
"109","LA",1995,48853,283076,271139,36691,2406763,382527,1344682,916528,4676969,1061606,NA,"Louisiana",33.34,NA,NA,0,NA
"110","LA",1996,49145,327543,237170,20304,2558812,362728,1487805,936940,4906283,1160262,NA,"Louisiana",33.34,NA,NA,0,0.145645648104628
"111","LA",1997,54534,380155,247804,25324,2982431,408340,1940203,1153997,5869636,1560048,NA,"Louisiana",50,NA,NA,0.399808015358771,0.148684891012833
"112","LA",1998,62581,359510,254986,22805,3199028,503362,1810324,1217797,6082026,1450814,NA,"Louisiana",50,NA,NA,0,-0.0558225683248498
"113","LA",2014,110176,481212,188197,55363,5115636,862150,3234892,2192300,9695281,2753680,NA,"Louisiana",50,NA,NA,0,0.289517819207776
"114","LA",2015,110708,253650,146329,56658,5285626,731330,3236754,2358843,9696730,2983104,NA,"Louisiana",50,NA,NA,0,-0.619332609387885
"115","LA",2016,99581,171579,106104,62273,5351241,456267,3038035,2164627,9307865,2866456,NA,"Louisiana",100,NA,NA,0.666666666666667,-0.386008480136585
"116","LA",2017,104207,291321,125998,70366,6770967,410279,3241260,2555589,10861190,2949939,NA,"Louisiana",100,NA,NA,0,0.517355800388853
"117","ME",1989,19056,96333,2112,28479,774754,NA,667596,257686,1590423,571263,NA,"Maine",33.34,NA,NA,0,NA
"118","ME",1990,27034,57658,2445,31956,773290,NA,638220,264310,1560869,580562,NA,"Maine",33.34,NA,NA,0,-0.502302082589242
"119","ME",1991,21774,76053,2128,44558,744774,NA,656801,247705,1558231,580748,NA,"Maine",50,NA,NA,0.399808015358771,0.275145649946526
"120","ME",1992,26309,69921,2087,41453,853351,NA,661408,279933,1670488,591487,NA,"Maine",50,NA,NA,0,-0.0840149615684985
"121","ME",2005,77639,135863,5638,43660,1467348,NA,1435115,532500,3215570,1299252,NA,"Maine",50,NA,NA,0,0.640885588772694
"122","ME",2006,93283,188016,6385,41190,1668485,NA,1556943,627269,3598579,1368927,NA,"Maine",50,NA,NA,0,0.322052371410311
"123","ME",2007,97434,183852,7978,37807,1688712,NA,1653147,633900,3696065,1469295,NA,"Maine",100,NA,NA,0.666666666666667,-0.0223950434024977
"124","ME",2008,96049,184515,8014,37280,1705306,NA,1747354,644749,3785719,1562839,NA,"Maine",100,NA,NA,0,0.00359967098029954
"125","MD",1990,66426,292552,5403,170107,2712026,NA,3156961,1140160,6450139,2864409,NA,"Maryland",33.34,NA,NA,0,NA
"126","MD",1991,70636,255488,5043,179901,2641718,NA,3186508,1100831,6401428,2931020,NA,"Maryland",33.34,NA,NA,0,-0.135260199985403
"127","MD",1992,82062,216946,3982,193770,2739685,NA,3124396,1159900,6502494,2907450,NA,"Maryland",50,NA,NA,0.399808015358771,-0.163163531837251
"128","MD",1993,95669,260401,11525,207548,3054533,NA,3340065,1336381,7175001,3079664,NA,"Maryland",50,NA,NA,0,0.18206880948241
"129","MD",2016,228582,1129008,103860,748389,8939430,NA,9646537,4435188,20894199,8517529,NA,"Maryland",50,NA,NA,0,1.25032585797271
"130","MD",2017,193485,1001934,109767,777064,9242760,NA,10068643,4633222,21599795,9066709,NA,"Maryland",50,NA,NA,0,-0.119265564243419
"131","MD",2018,179997,1033175,119084,808763,9567244,NA,10540951,4851065,22427037,9507776,NA,"Maryland",60,NA,NA,0.181818181818182,0.0307020410208986
"132","MD",2019,223626,1301050,117506,836498,9895931,NA,11368130,5007238,23605971,10067080,NA,"Maryland",66.67,NA,NA,0.105313018078472,0.229519433645
"133","MD",2020,195835,1325456,83751,867051,9518562,NA,12024332,4581902,23890161,10698876,NA,"Maryland",71.43,NA,NA,0.0689355539464157,0.0185843854915999
"134","MD",2021,233561,1840705,168085,893215,10587203,NA,12026945,5128294,25220541,10186240,NA,"Maryland",75,NA,NA,0.0487604998975619,0.325472393854892
"135","MD",2022,307187,2141942,140820,930810,12139837,NA,14370565,5501632,29361279,12228623,NA,"Maryland",100,NA,NA,0.285714285714286,0.15127476776124
"136","MD",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maryland",100,NA,NA,0,NA
"137","MI",1989,53033,1862126,12629,332290,4329932,40541,5651191,1202237,11124073,3789065,NA,"Michigan",33.34,NA,NA,0,NA
"138","MI",1990,66687,1815601,13737,325512,4414223,45570,5742605,1226572,11343403,3927004,NA,"Michigan",33.34,NA,NA,0,-0.0253009535509297
"139","MI",1991,70276,1593109,12445,327607,4513241,48895,5380306,1322594,11103151,3787197,NA,"Michigan",40,NA,NA,0.18161985274066,-0.130543226029788
