"Year","State","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
1969,"AL",29023,20.577,141045.827866064,3440,41.0016941471116
1969,"AR",22387,20.577,108796.228799145,1913,56.8720485097465
1969,"AZ",18080,20.577,87865.0920931137,1737,50.5843938359895
1969,"CA",592493,20.577,2879394.46955338,19711,146.080587973892
1969,"CO",32000,20.577,155513.437332945,2166,71.7975241611011
1969,"CT",86228,20.577,419050.396073286,3000,139.683465357762
1969,"DE",15079,20.577,73280.8475482334,540,135.705273237469
1969,"FL",0,20.577,0,6641,0
1969,"GA",73223,20.577,355848.763182194,4551,78.1913344720268
1969,"HI",13748,20.577,66812.4605141663,750,89.0832806855551
1969,"IA",24105,20.577,117145.356465957,2805,41.7630504334963
1969,"ID",10032,20.577,48753.4626038781,707,68.9582215047781
1969,"IL",0,20.577,0,11039,0
1969,"IN",8839,20.577,42955.7272683093,5143,8.35227051687912
1969,"KS",20126,20.577,97808.2324925888,2236,43.7425011147535
1969,"KY",39375,20.577,191354.424843272,3198,59.8356550479275
1969,"LA",34580,20.577,168051.708217913,3619,46.4359514279947
1969,"MA",185068,20.577,899392.525635418,5650,159.184517811578
1969,"MD",54749,20.577,266068.911891918,3868,68.7872057631639
1969,"ME",0,20.577,0,992,0
1969,"MI",216847,20.577,1053831.94829178,8781,120.012748922877
1969,"MN",82642,20.577,401623.171502163,3758,106.87151982495
1969,"MO",18505,20.577,89930.5049326918,4640,19.3815743389422
1969,"MS",33276,20.577,161714.535646596,2220,72.8443854263946
1969,"MT",8070,20.577,39218.544977402,694,56.5108717253631
1969,"NC",112457,20.577,546517.956942217,5031,108.630084862297
1969,"ND",2188,20.577,10633.2312776401,621,17.1227556805799
1969,"NE",6866,20.577,33367.3518977499,1474,22.6372807990162
1969,"NH",0,20.577,0,724,0
1969,"NJ",156631,20.577,761194.537590514,7095,107.286051809798
1969,"NM",5128,20.577,24921.0283326044,1011,24.6498796563842
1969,"NV",0,20.577,0,480,0
1969,"NY",610307,20.577,2965966.85619867,18105,163.820317934199
1969,"OH",0,20.577,0,10563,0
1969,"OK",22135,20.577,107571.560480148,2535,42.4345406233325
1969,"OR",37543,20.577,182451.280555961,2062,88.4826772822313
1969,"PA",283965,20.577,1380011.6635078,11741,117.537830125867
1969,"RI",28134,20.577,136725.470185158,932,146.701148267337
1969,"SC",40467,20.577,196661.320892258,2570,76.5219147440693
1969,"SD",606,20.577,2945.03571949264,668,4.40873610702491
1969,"TN",61633,20.577,299523.740098168,3897,76.8600821396377
1969,"TX",0,20.577,0,11045,0
1969,"UT",10706,20.577,52028.9643777033,1047,49.6933757189143
1969,"VA",67482,20.577,327948.68056568,4614,71.0768705170525
1969,"VT",5553,20.577,26986.4411721825,437,61.7538699592277
1969,"WA",0,20.577,0,3343,0
1969,"WI",101044,20.577,491053.117558439,4378,112.163800264605
1969,"WV",4138,20.577,20109.8313651164,1746,11.5176582847173
1969,"WY",0,20.577,0,329,0
1970,"AK",5301,21.66325,24470.0125789067,302.583,80.8704143289831
1970,"AL",30797,21.66325,142162.417919749,3444.354,41.2740438177229
1970,"AR",26228,21.66325,121071.399720725,1923.322,62.9491056207567
1970,"AZ",20910,21.66325,96522.9132286245,1775.399,54.3668849811364
1970,"CA",587577,21.66325,2712321.55839959,19971.069,135.812537546167
1970,"CO",33513,21.66325,154699.779580626,2209.596,70.0126989642568
1970,"CT",119538,21.66325,551800.860904989,3032.217,181.979344125103
1970,"DE",13446,21.66325,62068.2492239161,548.104,113.241737378155
1970,"FL",0,21.66325,0,6791.418,0
1970,"GA",84735,21.66325,391146.2961467,4587.93,85.2555065458061
1970,"HI",14578,21.66325,67293.6886201286,769.913,87.4042763534693
1970,"IA",24273,21.66325,112046.899703415,2825.368,39.6574533665756
1970,"ID",11125,21.66325,51354.2520166642,713.015,72.0240836681756
1970,"IL",140956,21.66325,650668.759304352,11110.285,58.5645426111348
1970,"IN",8597,21.66325,39684.7195134617,5195.392,7.63844566751877
1970,"KS",19258,21.66325,88897.0953111837,2249.071,39.526140042348
1970,"KY",39459,21.66325,182147.184748364,3220.711,56.5549609227168
1970,"LA",34770,21.66325,160502.233044442,3644.637,44.03792011233
1970,"MA",218279,21.66325,1007600.42929847,5689.17,177.108511311574
1970,"MD",60109,21.66325,277469.908716374,3923.897,70.7128420334107
1970,"ME",8257,21.66325,38115.2412495817,993.722,38.3560404716628
1970,"MI",194602,21.66325,898304.732669382,8881.826,101.139645459096
1970,"MN",79832,21.66325,368513.496359041,3806.103,96.8217350815364
1970,"MO",21287,21.66325,98263.1876565151,4677.623,21.0070772391266
1970,"MS",19949,21.66325,92086.8290768929,2216.994,41.5367967062125
1970,"MT",9696,21.66325,44757.827195827,694.409,64.4545609227804
1970,"NC",112408,21.66325,518887.978488916,5084.411,102.054688043299
1970,"ND",2998,21.66325,13839.1053973896,617.792,22.4009138955985
1970,"NE",8550,21.66325,39467.762224043,1485.333,26.5716591660207
1970,"NH",0,21.66325,0,737.681,0
1970,"NJ",169178,21.66325,780944.68743148,7171.112,108.901476846475
1970,"NM",8072,21.66325,37261.2604295293,1017.055,36.6364261810121
1970,"NV",0,21.66325,0,488.738,0
1970,"NY",693151,21.66325,3199663.02378452,18241.391,175.406745230368
1970,"OH",0,21.66325,0,10657.423,0
1970,"OK",27490,21.66325,126896.933747245,2559.463,49.5795148229316
1970,"OR",39880,21.66325,184090.568128051,2091.533,88.0170516688243
1970,"PA",529770,21.66325,2445477.9407522,11800.766,207.23044086733
1970,"RI",23090,21.66325,106586.03856762,949.723,112.228553554689
1970,"SC",42318,21.66325,195344.650502579,2590.713,75.4018876280696
1970,"SD",780,21.66325,3600.56778184252,666.257,5.40417253678764
1970,"TN",59633,21.66325,275272.639146942,3926.018,70.1149712372541
1970,"TX",0,21.66325,0,11198.655,0
1970,"UT",11790,21.66325,54423.966856312,1059.273,51.3786029251307
1970,"VA",67369,21.66325,310982.885762755,4651.448,66.8572207542157
1970,"VT",5819,21.66325,26861.1588750534,444.732,60.3985296202059
1970,"WA",0,21.66325,0,3413.244,0
1970,"WI",104704,21.66325,483325.447474409,4417.821,109.403583231283
1970,"WV",3872,21.66325,17873.5877580695,1744.237,10.2472242923809
1970,"WY",0,21.66325,0,332.416,0
1971,"AK",6050,22.75975,26582.0143015631,315.51,84.2509407041397
1971,"AL",33764,22.75975,148349.608409583,3497.076,42.4210421533827
1971,"AR",26384,22.75975,115923.944683048,1972.312,58.7756626147628
1971,"AZ",26987,22.75975,118573.35867046,1895.814,62.5448270085884
1971,"CA",533121,22.75975,2342385.13164688,20345.939,115.127895136562
1971,"CO",28837,22.75975,126701.743208954,2303.524,55.0034396033877
1971,"CT",126796,22.75975,557106.295104296,3060.938,182.005089650393
1971,"DE",12383,22.75975,54407.4517514472,564.708,96.3461678450583
1971,"FL",0,22.75975,0,7158.304,0
1971,"GA",81688,22.75975,358914.311448939,4711.55,76.177544852318
