"Abbreviation","State","EffectiveYear","Year","Revenue","GDPDEF","RealRev","population","RealRevPerCapita"
"AL","Alabama",2021,2002,322636,81.02425,398196.836132393,4480.089,88.8814566256146
"AL","Alabama",2021,1964,15766,17.4655,90269.3882224958,3395,26.58892142047
"AL","Alabama",2021,2021,1134256,118.8655,954234.828440548,5049.846,188.963154211148
"AL","Alabama",2021,1999,233024,76.29125,305440.007864598,4369.862,69.8969459137607
"AL","Alabama",2021,1953,1076,14.4295,7456.9458401192,3053,2.44249781857819
"AL","Alabama",2021,1986,156745,55.6325,281750.775176381,3991.569,70.5864724313625
"AL","Alabama",2021,2013,382202,101.7475,375637.730656773,4831.586,77.7462577830081
"AL","Alabama",2021,1998,243803,75.23225,324067.138760306,4351.037,74.4804373670704
"AL","Alabama",2021,1969,29023,20.577,141045.827866064,3440,41.0016941471116
"AL","Alabama",2021,1978,83161,35.76175,232541.752011577,3831.836,60.6867705224276
"AL","Alabama",2021,1954,1036,14.56225,7114.28522378066,3014,2.3604131465762
"AL","Alabama",2021,2008,524808,94.4225,555808.202494109,4718.206,117.80074937256
"AL","Alabama",2021,1957,1312,15.82125,8292.64438650549,3109,2.66730279398697
"AL","Alabama",2021,2020,754272,113.7685,662988.437045404,5031.362,131.77116594779
"AL","Alabama",2021,1975,58158,29.8215,195020.371208692,3678.814,53.0117508546754
"AL","Alabama",2021,2000,243099,78.02075,311582.495682238,4452.173,69.9843639683898
"AL","Alabama",2021,1976,60307,31.4675,191648.52625725,3735.139,51.3096102333139
"AL","Alabama",2021,1979,100610,38.7415,259695.675180362,3866.248,67.1699474995815
"AR","Arkansas",2021,1983,86921,51.012,170393.240806085,2305.761,73.8989170196239
"AR","Arkansas",2021,2009,346215,95.02275,364349.589966613,2896.843,125.77471059585
"AR","Arkansas",2021,1965,13766,17.78375,77407.7458353834,1894,40.8699819616597
"AR","Arkansas",2021,2011,376874,98.161,383934.556493923,2941.038,130.543895214521
"AR","Arkansas",2021,2006,368523,90.201,408557.554794293,2821.761,144.788149951145
"AR","Arkansas",2021,1963,10619,17.20275,61728.5027103225,1875,32.921868112172
"AR","Arkansas",2021,1992,125525,67.27675,186580.059232945,2394.098,77.9333424249738
"AR","Arkansas",2021,2007,362983,92.638,391829.486819664,2848.65,137.549185340306
"AR","Arkansas",2021,1980,83714,42.247,198153.71505669,2288.738,86.5777188374947
"AR","Arkansas",2021,1970,26228,21.66325,121071.399720725,1923.322,62.9491056207567
"AR","Arkansas",2021,1990,130300,63.6315,204772.793349206,2354.343,86.9766186784194
"AR","Arkansas",2021,2016,450159,105.73675,425735.612263475,2991.815,142.300112895842
"AR","Arkansas",2021,1985,130231,54.5315,238817.930920661,2327.046,102.627077814818
"AR","Arkansas",2021,1972,31568,23.74125,132966.882535671,2018.638,65.8696024426722
"AR","Arkansas",2021,1984,106241,52.85775,200994.17776958,2319.768,86.6440858609913
"AR","Arkansas",2021,1960,8862,16.62725,53298.0498879851,1789,29.7920904907686
"AR","Arkansas",2021,2001,202345,79.782,253622.370960868,2691.571,94.2283785049207
"AR","Arkansas",2021,1961,10831,16.803,64458.7276081652,1806,35.6914327841446
"AR","Arkansas",2021,2014,398493,103.6485,384465.766508922,2968.759,129.503865591286
"AR","Arkansas",2021,2004,181830,84.8365,214329.916957913,2749.686,77.9470517571508
"AR","Arkansas",2021,2000,236969,78.02075,303725.611455927,2678.588,113.390193436216
"AR","Arkansas",2021,1977,67210,33.4185,201116.148241244,2209.01,91.0435662315897
"AR","Arkansas",2021,1982,91706,49.1005,186772.028798077,2294.257,81.4085034057113
"AR","Arkansas",2021,1955,7469,14.807,50442.3583440265,1725,29.2419468661023
"AR","Arkansas",2021,1958,9274,16.1795,57319.4474489323,1726,33.2094133539585
"AR","Arkansas",2021,1975,54469,29.8215,182650.101436883,2159.526,84.5787924928355
"AR","Arkansas",2021,2020,469029,113.7685,412266.136935971,3014.195,136.774872540088
"AR","Arkansas",2021,2012,404083,99.9985,404089.06133592,2952.876,136.845929641448
"AR","Arkansas",2021,2005,277311,87.4985,316932.290267833,2781.097,113.959452067955
"AR","Arkansas",2021,1994,184281,70.3425,261976.756583858,2450.605,106.902889932836
"AR","Arkansas",2021,1950,7809,13.079,59706.3995718327,1908,31.2926622493882
"AR","Arkansas",2021,1967,25131,18.81325,133581.385459716,1901,70.2690086584513
"AR","Arkansas",2021,1997,229982,74.39475,309137.405529288,2524.007,122.478822574299
"AR","Arkansas",2021,1973,37825,25.0445,151031.164527142,2059.256,73.342588064399
"AR","Arkansas",2021,1989,111671,61.33125,182078.467339244,2346.358,77.6004630747925
"AR","Arkansas",2021,1966,20848,18.28275,114030.985491789,1899,60.047912317951
"AR","Arkansas",2021,1999,212206,76.29125,278152.474890633,2551.373,109.020701751815
"AR","Arkansas",2021,2003,176875,82.61875,214085.78561162,2724.816,78.5688962526717
"AR","Arkansas",2021,1969,22387,20.577,108796.228799145,1913,56.8720485097465
"AR","Arkansas",2021,1979,83608,38.7415,215809.919595266,2271.333,95.014654211983
"AR","Arkansas",2021,2002,176874,81.02425,218297.608432043,2705.927,80.6738719973018
"AR","Arkansas",2021,1981,80683,46.244,174472.363982354,2293.201,76.08245591309
"AR","Arkansas",2021,2015,476553,104.6895,455206.109495222,2979.732,152.767466837696
"AR","Arkansas",2021,1964,11059,17.4655,63319.114826372,1897,33.3785528868593
"AR","Arkansas",2021,2008,342529,94.4225,362762.053535969,2874.554,126.197682679111
"AR","Arkansas",2021,1987,115620,57.00375,202828.761265706,2342.355,86.591810919227
"AR","Arkansas",2021,1953,8425,14.4295,58387.3315083683,1780,32.8018716339148
"AR","Arkansas",2021,1956,8668,15.3125,56607.3469387755,1704,33.220274025103
"AR","Arkansas",2021,1993,153926,68.87275,223493.326460756,2423.743,92.2099935763635
"AR","Arkansas",2021,2010,385365,96.1615,400747.700483042,2921.998,137.148519774155
"AR","Arkansas",2021,1962,10340,17.00825,60794.026428351,1853,32.808433042823
"AR","Arkansas",2021,2013,402874,101.7475,395954.691761468,2960.459,133.747737010196
"AR","Arkansas",2021,1991,122240,65.7795,185832.972278597,2370.666,78.3885086632183
"AR","Arkansas",2021,1995,191600,71.81975,266778.984889254,2480.121,107.566923101435
"AR","Arkansas",2021,1978,83528,35.76175,233567.988143757,2243.127,104.126065150906
"AR","Arkansas",2021,1971,26384,22.75975,115923.944683048,1972.312,58.7756626147628
"AR","Arkansas",2021,2021,618457,118.8655,520299.834687104,3028.122,171.822613054264
"AR","Arkansas",2021,1974,45916,27.30475,168161.217370604,2101.403,80.023306986144
