,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002208968,0.002499491,0.001944818,0.001851431,0.002195022,0.003038346,0.004488294,0.00383701,0.003194827,0.003400529,0.003384497,0.002771097,0.002577542,0.002512297,0.003352636,0.003036493,0.002818104,0.003337185,0.003920136,0.00403648,0.002650806,0.003735987,0.003199865,0.003097005,0.003579108,0.002176783,0.002424027,0.003162525,0.003445794,0.004793954,0.004613674,0.003038521,0.003079472,0.003212601,0.003692344,0.003511491,0.003960805,0.003474448,0.003700628,0.003642945,0.004612206,0.005089456,0.005564229,0.003832441,0.003934645,0.003475809,0.003016841,0.003927648,0.003834046,0.004235802,0.004129007,0.003183284
22,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015882612,0.06819592,0.05206124,0.0481282,0.064206839,0.067166895,0.051395972,0.033519519,0.045991741,0.086047028,0.084620502,0.081760712,0.068366442,0.066738021,0.068011698,0.076355732,0.083159278,0.078943207,0.078756844,0.074442584,0.085901298,0.078025536,0.083471614,0.078259043,0.079151083,0.076189133,0.084642325,0.073272351,0.074695238,0.072555605,0.075743588,0.078451681,0.073257941,0.066338326,0.082204742,0.064932399,0.060902039,0.049292889,0.039734619,0.033755979,0.035665883,0.017904626,0.016626145,0.017748623,0.019274015,0.020069848,0.018949888,0.024388387,0.023089944,0.026792592,0.02004437,0.019141002,0.015528684,0.016755166
23,MN,0.026576394,0.02786689,0.025897539,0.020028273,0.018800379,0.02194268,0.022898165,0.021933295,0.025598772,0.025904759,0.033764887,0.029367029,0.026759091,0.025076722,0.023768884,0.023341158,0.036954405,0.031259754,0.026172587,0.025989971,0.021357195,0.023356135,0.025454512,0.031457178,0.031646094,0.029494437,0.027010062,0.028133897,0.027271832,0.029415238,0.028617035,0.023453747,0.023232521,0.019309633,0.019695091,0.021737836,0.019956108,0.020657136,0.019065677,0.020440218,0.022153067,0.022511862,0.019349569,0.021059202,0.021478227,0.02289787,0.023983715,0.022763108,0.024227125,0.025326188,0.024701943,0.023100748,0.021251367,0.021017969,0.021078508,0.024137308,0.022580652,0.022371838,0.020867822,0.019834609,0.01899016,0.024440867,0.025554202,0.027259381,0.02851387,0.030375819,0.033257335,0.027501496,0.028011735,0.028672179,0.03065171,0.027132803
24,MO,0,0,0,0,0,0,0,0,0.009768286,0.008942269,0.008475122,0.009476802,0.009177168,0.006943056,0.006342538,0.006911886,0.005477544,0.006793666,0.009455052,0.005819612,0.005694842,0.007979796,0.011325597,0.011550981,0.009091834,0.008492043,0.011506048,0.01152978,0.01042549,0.010715543,0.010141854,0.009070034,0.008789784,0.009019196,0.010679386,0.009106814,0.009464254,0.011493404,0.010377364,0.01019149,0.010182051,0.011040942,0.010513364,0.007965096,0.009823698,0.01270589,0.014515848,0.013381303,0.011512378,0.008988051,0.008162686,0.007455978,0.011959454,0.007247941,0.007422201,0.005640307,0.007240263,0.007382664,0.007701695,0.007094662,0.005444809,0.007880076,0.007231762,0.008406559,0.007694376,0.008758662,0.007213106,0.006890749,0.006888843,0.006181325,0.006962711,0.007690223
25,MS,0.013037251,0.012862649,0.011986684,0.010974684,0.014179672,0.013999641,0.013168796,0.014065764,0.012183984,0.012040268,0.011407514,0.009885884,0.009998524,0.008617362,0.007664146,0.0075376,0.007778299,0.007624516,0.007017011,0.010464924,0.005336891,0.005865539,0.005197881,0.004808853,0.004998738,0.005074299,0.005655124,0.005000431,0.0049086,0.004809226,0.004832025,0.00451317,0.005069881,0.005230487,0.007104204,0.006039523,0.005286376,0.005023407,0.004450787,0.005982964,0.005516268,0.006868591,0.00669564,0.007069509,0.006534017,0.006993598,0.006881709,0.007354809,0.007858212,0.007459657,0.007001903,0.006652032,0.00779417,0.010173801,0.008066615,0.007320337,0.006677623,0.006977262,0.007714391,0.008256649,0.008323163,0.00847353,0.00948504,0.009269414,0.011320363,0.010996197,0.010161555,0.009142593,0.009029103,0.008288631,0.008050981,0.006160166
26,MT,0.002864542,0.003804527,0.002726308,0.001987765,0.002348589,0.002125621,0.003364414,0.002384713,0.002303362,0.002901269,0.00395873,0.003695163,0.003468205,0.003137995,0.002980108,0.003043552,0.003414815,0.003416818,0.00291111,0.002537923,0.002593939,0.002788051,0.002609471,0.002222491,0.002616336,0.003324099,0.003165263,0.002720462,0.002722871,0.00297604,0.003424808,0.003740306,0.003187468,0.002723816,0.002281938,0.003554552,0.003182931,0.001688127,0.002138155,0.00235234,0.0036925,0.003477156,0.002639805,0.003515309,0.002680662,0.002597419,0.00258435,0.002669424,0.00250664,0.002913121,0.003067829,0.003271641,0.002713554,0.00155497,0.002240329,0.002538421,0.003237367,0.003377217,0.003243312,0.004181905,0.002452895,0.003019259,0.003172899,0.003810425,0.003229378,0.00345674,0.002610411,0.002797625,0.003632102,0.003100579,0.003559052,0.003005566
27,NC,0.051239111,0.056887504,0.050806732,0.047445846,0.049132435,0.047237976,0.049412655,0.046059313,0.044518966,0.04078072,0.043660439,0.043695953,0.043435534,0.041628436,0.039068856,0.041182563,0.044405848,0.044234501,0.038484332,0.03536645,0.030072147,0.034086014,0.027967964,0.025666204,0.025486498,0.025059394,0.021540977,0.02226894,0.021426863,0.021008245,0.021901115,0.01979263,0.019816152,0.023306134,0.02372755,0.02780844,0.027822187,0.027664024,0.029297767,0.033071077,0.028154322,0.024559672,0.029465839,0.02937172,0.028695916,0.031161011,0.032040119,0.031948123,0.032158354,0.029922454,0.036810817,0.022836637,0.026593972,0.031650014,0.027691421,0.032875495,0.02755521,0.029585761,0.02419577,0.022950638,0.034055423,0.026594078,0.02924702,0.028654272,0.029266091,0.027364093,0.023401322,0.016967632,0.015327183,0.014010875,0.012653523,0.016969597
28,ND,0.002229495,0.001965551,0.001660374,0.001193893,0.001218363,0.001347263,0.001349124,0.001186294,0.001266947,0.001505282,0.001198382,0.001194077,0.001350573,0.001203906,0.001196527,0.001281496,0.001498828,0.001497777,0.001504213,0.000688101,0.000802045,0.002255617,0.002009132,0.001859726,0.002415156,0.003005676,0.002691161,0.00237633,0.001948261,0.002380618,0.002728556,0.002902465,0.002694957,0.002326097,0.00281806,0.004789522,0.003059438,0.001633138,0.001932901,0.001777999,0.002149866,0.002500925,0.001766948,0.002239029,0.002781432,0.002403438,0.002534445,0.002448836,0.002655119,0.003042194,0.002405171,0.002000476,0.001989799,0.001972522,0.001647654,0.001960044,0.002530339,0.00257815,0.003247564,0.003298117,0.002324548,0.003911875,0.005168794,0.005029768,0.005386734,0.003827019,0.002261534,0.001364308,0.002214448,0.002454422,0.0015568,0.001740547
29,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545759,0.002159279,0.002287354,0.00274687,0.00228858,0.002582491,0.003649336,0.003893046,0.003920691,0.004572365,0.004383098,0.004121616,0.004322316,0.003827059,0.00346372,0.003925869,0.004313543,0.00277684,0.002964197,0.003292599,0.003414707,0.003378252,0.003307784,0.00402557,0.004741929,0.004246897,0.004403756,0.004262216,0.004325364,0.004470949,0.004572412,0.004389119,0.004305453,0.004356298,0.004284019,0.003931621,0.005538681,0.005127294,0.005525612,0.004025799,0.004670074,0.0050523,0.004060716,0.003773192,0.005616439,0.006140457,0.006594543,0.007086256,0.006750921,0.005926919,0.006475295,0.00709808,0.00747287,0.006395522
30,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003614887,0.003700317,0.003513552,0.003970559,0.003962602,0.003320089,0.003549562,0.004884667,0.005278736,0.004713193,0.004054089,0.005699876,0.005623264,0.006167344,0.005412055,0.005382105,0.007801237,0.00674213,0.00636921,0.005819884,0.006003134,0.00437664,0.005214605,0.005610934,0.00572488,0.006128187,0.006783936,0.007597409,0.008315059,0.009598913,0.011056835,0.015018546,0.013956996,0.013483824,0.012315249,0.011431512,0.011259263,0.012330294,0.01256267,0.013147072,0.012624101,0.012496586,0.012327064,0.011676233,0.011862897,0.012587061,0.01285734,0.016307674,0.013932983,0.014914103,0.011307933
31,NJ,0,0,0,0,0,0,0,0,0,0.018215401,0.023467613,0.020809477,0.01931029,0.020486997,0.018722583,0.018579095,0.021062116,0.021772335,0.030021497,0.049258672,0.04525964,0.032802389,0.027068022,0.031444827,0.032852342,0.030529501,0.031482956,0.036274464,0.037084748,0.035445075,0.037323973,0.04064907,0.051770038,0.05051624,0.053515942,0.052359812,0.051879024,0.053147615,0.054696455,0.054875015,0.051633941,0.050627631,0.038708245,0.039124973,0.042232926,0.035389384,0.039407916,0.041148015,0.037893377,0.043358619,0.041428427,0.041050467,0.043835927,0.08444909,0.062754166,0.057497464,0.052843348,0.054561319,0.056555967,0.061039207,0.05387224,0.053974281,0.046244312,0.050851753,0.050935373,0.053060799,0.048919274,0.047290063,0.046149104,0.065485228,0.068110069,0.066726965
32,NM,0.002142432,0.001895717,0.001517136,0.001333407,0.00136353,0,0,0,0,0,0,0,0,0,0,0,0,0.002901241,0.001719895,0.001612698,0.002159476,0.002955404,0.002991731,0.002776593,0.002686832,0.002761777,0.003231813,0.00321415,0.003502232,0.003340665,0.003473527,0.003784283,0.004304117,0.004694316,0.00344257,0.003689824,0.003918832,0.004841448,0.002294398,0.003207211,0.002838107,0.00240651,0.003559799,0.003737418,0.004769082,0.005170865,0.005573876,0.005638576,0.005790575,0.005329455,0.004899389,0.006017302,0.004948705,0.003577519,0.004571631,0.006266629,0.0079459,0.008690845,0.008092586,0.004137223,0.003291576,0.005596046,0.006633096,0.005937746,0.004424496,0.005141674,0.001968368,0.002010634,0.00229743,0.003389871,0.00182552,0.001709981
