"State","Year","Revenue"
"CA","2018",0.257787786
"CA","2019",0.231039931
"CA","2020",0.187564069
"CA","2021",0.292191648
"CO","...1",6
"CO","1950",0.010247822
"CO","1951",0.009507681
"CO","1952",0.007306362
"CO","1953",0.00680902
"CO","1954",0.007975094
"CO","1955",0.007671425
"CO","1956",0.006797123
"CO","1957",0.004445064
"CO","1958",0.010769536
"CO","1959",0.012147575
"CO","1960",0.009087873
"CO","1961",0.014653504
"CO","1962",0.015500236
"CO","1963",0.013976471
"CO","1964",0.014593738
"CO","1965",0.012404899
"CO","1966",0.012151108
"CO","1967",0.011586552
"CO","1968",0.010612902
"CO","1969",0.010063637
"CO","1970",0.008965624
"CO","1971",0.008422274
"CO","1972",0.008257323
"CO","1973",0.007187658
"CO","1974",0.008769614
"CO","1975",0.008749492
"CO","1976",0.009569627
"CO","1977",0.008783156
"CO","1978",0.008027531
"CO","1979",0.009259268
"CO","1980",0.008302999
"CO","1981",0.007315376
"CO","1982",0.006527775
"CO","1983",0.004271734
"CO","1984",0.005655268
"CO","1985",0.005765577
"CO","1986",0.006353202
"CO","1987",0.006059685
"CO","1988",0.006792853
"CO","1989",0.0071725
"CO","1990",0.005671294
"CO","1991",0.005625325
"CO","1992",0.005649932
"CO","1993",0.005693169
"CO","1994",0.005684303
"CO","1995",0.006535714
"CO","1996",0.007016722
"CO","1997",0.007301127
"CO","1998",0.008721614
"CO","1999",0.009785044
"CO","2000",0.010300099
"CO","2001",0.010731028
"CO","2002",0.008168446
"CO","2003",0.007040927
"CO","2004",0.007925856
"CO","2005",0.008162989
"CO","2006",0.009641486
"CO","2007",0.009060585
"CO","2008",0.010188155
"CO","2009",0.00839016
"CO","2010",0.009472241
"CO","2011",0.009339236
"CO","2012",0.011799373
"CO","2013",0.014532733
"CO","2014",0.015433018
"CO","2015",0.013763148
"CO","2016",0.013738047
"CO","2017",0.011846285
"CO","2018",0.016156324
"CO","2019",0.013311416
"CO","2020",0.013308205
"CO","2021",0.014309323
"CT","...1",7
"CT","1950",0.020826825
"CT","1951",0.027127807
"CT","1952",0.026486011
"CT","1953",0.024517411
"CT","1954",0.032840069
"CT","1955",0.031337033
"CT","1956",0.031916585
"CT","1957",0.030076685
"CT","1958",0.029774714
"CT","1959",0.027292798
"CT","1960",0.026080493
"CT","1961",0.024317473
"CT","1962",0.02946865
"CT","1963",0.031269662
"CT","1964",0.030137972
"CT","1965",0.029724789
"CT","1966",0.033352604
"CT","1967",0.035960574
"CT","1968",0.031715176
"CT","1969",0.027117727
"CT","1970",0.031979612
"CT","1971",0.037032656
"CT","1972",0.027842507
"CT","1973",0.025540305
"CT","1974",0.023255895
"CT","1975",0.021132624
"CT","1976",0.01975677
"CT","1977",0.021991084
"CT","1978",0.018584792
"CT","1979",0.019059043
"CT","1980",0.018477058
"CT","1981",0.017585467
"CT","1982",0.024945741
"CT","1983",0.027170798
"CT","1984",0.02590363
"CT","1985",0.02776369
"CT","1986",0.033512127
"CT","1987",0.030799569
"CT","1988",0.027824337
"CT","1989",0.033519086
"CT","1990",0.031250162
"CT","1991",0.025341767
"CT","1992",0.027171003
"CT","1993",0.029484263
"CT","1994",0.027321255
"CT","1995",0.024038437
"CT","1996",0.021878698
"CT","1997",0.018489406
"CT","1998",0.017206904
"CT","1999",0.015423447
"CT","2000",0.01311779
"CT","2001",0.012238659
"CT","2002",0.005948859
"CT","2003",0.012143399
"CT","2004",0.012564806
"CT","2005",0.014860933
"CT","2006",0.013376903
"CT","2007",0.016900866
"CT","2008",0.012122093
"CT","2009",0.011305718
"CT","2010",0.013359748
"CT","2011",0.01659369
"CT","2012",0.014989891
"CT","2013",0.012671007
"CT","2014",0.013494002
"CT","2015",0.013371475
"CT","2016",0.016796381
"CT","2017",0.020110083
"CT","2018",0.015914024
"CT","2019",0.034604985
"CT","2020",0.039397854
"CT","2021",0.029189341
"DE","...1",8
"DE","1950",0
"DE","1951",0
"DE","1952",0
"DE","1953",0
"DE","1954",0
"DE","1955",0
"DE","1956",0
"DE","1957",0
"DE","1958",0.002293594
"DE","1959",0.005129881
"DE","1960",0.006337696
"DE","1961",0.005323593
"DE","1962",0.005578953
"DE","1963",0.00590658
"DE","1964",0.005898266
"DE","1965",0.005279949
"DE","1966",0.006375663
"DE","1967",0.005714009
"DE","1968",0.004598832
"DE","1969",0.004742174
"DE","1970",0.003597165
"DE","1971",0.003616639
"DE","1972",0.003967084
"DE","1973",0.00342581
"DE","1974",0.003901726
"DE","1975",0.002641484
"DE","1976",0.003143401
"DE","1977",0.003165098
"DE","1978",0.003901923
"DE","1979",0.004130357
"DE","1980",0.003044215
"DE","1981",0.002327147
"DE","1982",0.002580971
"DE","1983",0.002264968
"DE","1984",0.002891877
"DE","1985",0.004678072
"DE","1986",0.004404272
"DE","1987",0.005132407
"DE","1988",0.005522317
"DE","1989",0.006511465
"DE","1990",0.005415905
"DE","1991",0.006015513
"DE","1992",0.00589152
"DE","1993",0.004701241
"DE","1994",0.006035694
"DE","1995",0.006660322
"DE","1996",0.005663214
"DE","1997",0.005617644
"DE","1998",0.006602865
"DE","1999",0.007558046
"DE","2000",0.007389425
"DE","2001",0.005008385
"DE","2002",0.010016384
"DE","2003",0.00733792
"DE","2004",0.007203934
"DE","2005",0.006432223
"DE","2006",0.00622672
"DE","2007",0.005711413
"DE","2008",0.006190798
"DE","2009",0.005312881
"DE","2010",0.003747214
"DE","2011",0.008327467
