"","State_Acronym","year","real_totRev_capita","treatment"
"81","AK",1980,4304.47599847129,0
"82","AK",1981,6090.35839723578,0
"83","AK",1982,5852.43097934981,0
"84","AK",1983,4206.04363249316,0
"85","AK",1984,3697.05360424205,0
"86","AK",1985,3291.32189697856,0
"87","AK",1986,3112.20926530452,0
"88","AK",1987,1734.0770227651,0
"89","AK",1988,1951.16587058485,0
"90","AK",1989,2078.66982581994,0
"91","AK",1990,2139.13604433881,0
"92","AK",1991,2329.4401306798,0
"93","AK",1992,1946.10682352035,0
"94","AK",1993,2581.89345325506,0
"95","AK",1994,1393.3720806205,0
"96","AK",1995,2097.72869387343,0
"97","AK",1996,1600.52243626841,0
"98","AK",1997,1656.89070349246,0
"99","AK",1998,1182.94151338551,0
"100","AK",1999,876.994865742907,0
"101","AK",2000,1316.21028449927,0
"102","AK",2001,1273.00049909495,0
"103","AK",2002,942.832895482161,0
"104","AK",2003,938.856864260502,0
"105","AK",2004,1078.52933420392,0
"106","AK",2005,1426.67641613003,0
"107","AK",2006,1824.89046758292,0
"108","AK",2007,2614.90426272214,0
"109","AK",2008,5899.81669753738,0
"110","AK",2009,3305.27041017751,0
"111","AK",2010,2905.12132355148,0
"112","AK",2011,3408.128347589,0
"113","AK",2012,4201.33212799722,0
"114","AK",2013,2987.05549839842,0
"115","AR",1976,587.180362503681,0
"116","AR",1977,599.788567681627,0
"117","AR",1978,633.329292906652,0
"118","AR",1979,603.133646793271,0
"119","AR",1980,615.491076538241,0
"120","AR",1981,570.328500549572,0
"121","AR",1982,571.200536389576,0
"122","AR",1983,582.564288347431,0
"123","AR",1984,639.505472567765,0
"124","AR",1985,696.892830164273,0
"125","AR",1986,714.712447727227,0
"126","AR",1987,709.930907683767,0
"127","AR",1988,729.431220095861,0
"128","AR",1989,746.683624908982,0
"129","AR",1990,734.755670986025,0
"130","AR",1991,732.801812096466,0
"131","AR",1992,818.207165997649,0
"132","AR",1993,840.183235307588,0
"133","AR",1994,874.491702331314,0
"134","AR",1995,897.367793209049,0
"135","AR",1996,941.991319790519,0
"136","AR",1997,932.256450498584,0
"137","AR",1998,980.473289282602,0
"138","AR",1999,1084.30566102052,0
"139","AR",2000,1055.94165152282,0
"140","AR",2001,1046.1475287424,0
"141","AR",2002,1063.28876117083,0
"142","AR",2003,1026.30663469769,0
"143","AR",2004,1074.41460796517,0
"144","AR",2005,1203.85549820468,0
"145","AR",2006,1233.29016851759,0
"146","AR",2007,1251.47603880077,0
"147","AR",2008,1216.75598399146,0
"148","AR",2009,1201.59601589773,0
"149","AR",2010,1186.50064988293,0
"150","AR",2011,1202.14256684613,0
"151","AR",2012,1222.44853168906,0
"152","AR",2013,1245.02093664262,0
"153","CT",1976,720.371244106553,0
"154","CT",1977,779.240580318059,0
"155","CT",1978,769.158414079512,0
"156","CT",1979,764.408559578777,0
"157","CT",1980,717.151990874532,0
"158","CT",1981,728.482231137397,0
"159","CT",1982,773.343643780813,0
"160","CT",1983,805.702545213683,0
"161","CT",1984,934.010512612844,0
"162","CT",1985,1024.61288661709,0
"163","CT",1986,1085.92305106564,0
"164","CT",1987,1160.43584862704,0
"165","CT",1988,1129.88553787814,0
"166","CT",1989,1181.02684829556,0
"167","CT",1990,1225.4626096961,0
"168","CT",1991,1112.56663261718,0
"169","CT",1992,1318.73238927372,0
"170","CT",1993,1411.61772510932,0
"171","CT",1994,1411.88365353545,0
"172","CT",1995,1501.94103838618,0
