State,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MN,7371,0,14076,0,11661,0,20211,0,15568,19154,21696,16222,14505,16238,20452,21706,26206,26072,39840,37186,34990,37743,40286,45025,75298,69604,65892,82642,79832,79969,112403,170655,190336,195905,196436,258095,292853,356734,381217,331718,325295,253970,305498,383264,367312,422999,411960,487818,481854,458271,422812,509534,551822,665756,703099,699234,753188,779176,803357,732004,533901,596584,637183,933896,1071884,1183816,1040479,779055,721742,1003657,1066022,1223309,1325656,1476629,1515697,1227028,1357004,1711659,1604450,2423383
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,9000,10000,12000,12000,10450,10750,13333,11161,15127,23804,18505,21287,27322,50012,62664,54683,56405,83680,105772,111952,129953,135103,128282,123072,118625,165652,160564,174199,235352,224228,243226,221471,224759,229730,192718,252392,369424,425542,411045,357904,276523,265467,236261,300459,205729,224366,218229,343689,390657,384010,278661,206936,323593,301681,377258,357724,425776,328736,307443,333724,369010,364460,686857
MS,2713,0,5866,0,5350,0,6370,0,7637,8841,10042,8889,10940,10360,11762,13920,12473,12118,13460,12518,13074,12970,12990,14540,15849,16977,17666,33276,19949,20083,22953,26088,30065,33704,41128,45873,52710,58324,64369,63832,70987,68794,110196,106484,97301,102865,96170,142787,119985,139823,146308,171049,167873,203339,201742,225924,244301,229501,227716,210786,195814,288778,243846,283231,316981,369205,384643,324301,316331,347963,395679,415980,526302,534547,463111,407913,437407,494811,421425,550199
MT,1541,0,1237,0,766,0,1907,0,1678,2615,2284,1610,1812,1573,3005,2360,2358,2920,4671,4679,4535,4723,5051,5871,6958,7608,7329,8070,9696,9546,11523,12057,15736,22079,23020,24957,29239,36092,45623,52901,44630,35825,35396,62671,58585,34568,46200,56140,80316,70784,57683,85054,68872,75520,75762,81999,77928,89624,99772,103670,68173,44137,67723,98214,153675,178707,161713,164255,93225,123985,132361,170999,150139,168039,118969,124821,175954,185097,186297,268444
NC,16376,0,24614,0,21845,0,35280,0,30015,39101,42564,38429,37907,34957,44134,45582,45575,41044,51516,55330,56796,62655,66218,79441,90481,98494,96888,112457,112408,116707,123502,139239,153289,166447,156661,204291,230088,254778,291752,279937,277460,306534,368047,490296,512095,566480,633049,789261,612388,499958,643865,710658,737260,906007,939278,981378,999759,920583,1197162,723635,668124,898369,837085,1271985,1308022,1565544,1206412,901445,1294314,1092078,1220072,1285907,1360628,1330223,1066511,757041,742512,836415,662343,1515650
ND,0,0,848,0,543,0,1189,0,1306,1351,1391,967,940,997,1205,1174,1297,1515,1414,1512,1766,1812,2028,2472,3054,3335,3787,2188,2998,7723,8872,10089,14526,19964,19572,21800,20921,28871,36348,41051,37734,30594,43712,84445,56312,33442,41765,42433,46762,50911,38610,54174,71461,69880,74299,75223,82544,93595,78221,63390,49990,55989,49807,75836,120113,136424,161925,129542,88347,160640,215622,225719,250438,186039,103069,60871,107277,146523,81490,155458
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,6866,8550,9405,10106,14010,21949,25858,28514,41946,47067,49985,57579,54128,48498,51635,66909,48959,54559,67423,73783,80624,71948,81948,103617,102755,113142,123924,126801,137338,142150,135034,140022,138040,107628,111597,167429,198380,262296,213027,232852,198442,154332,154945,234296,275563,306591,344477,307672,264440,313690,423738,391164,571220
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12377,16340,19061,23881,26320,24146,32563,52453,64018,62786,57339,79808,73960,95664,95421,99063,159747,145680,152005,126589,122205,95635,126169,144157,166451,179652,208388,236193,255818,312176,350363,377313,396162,407603,476489,542644,595789,614794,493431,499669,518405,521309,553197,542847,576679,573653,573653,790011,831765,780672,1009975
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18333,27690,26350,25250,30835,31733,35839,42916,48479,75582,156631,169178,112312,119528,170588,197591,202780,228966,332775,398227,429861,497205,574920,724869,664415,830106,923166,954885,1088311,1181849,1309625,1123096,1030620,845823,946641,1085055,1028947,1155270,1263979,1178053,1333955,1347336,1300785,1101296,2397043,1896998,2224633,2508428,2887137,2819906,2397471,2047474,2216438,1929133,2282055,2368068,2579391,2229487,2109930,2235653,3909308,3565191,5959760
NM,0,0,698,0,662,0,1011,0,1255,1303,1271,1080,1052,0,0,0,0,0,0,0,0,0,0,0,0,6460,4330,5128,8072,10119,13211,15063,16160,18344,23504,29486,37608,40514,46272,53523,60265,61742,53399,65056,72130,99139,49576,76542,61732,48989,77786,90428,122528,150343,163402,173205,180021,163964,159338,190673,124327,101546,138196,242462,377185,459880,403500,162500,125100,229800,276707,266466,205702,249947,89708,89708,111297,202367,95556,152728
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,80649,0,137400,0,176937,0,165331,0,180664,167280,218129,225720,204449,207215,223077,251284,258320,254256,256309,279057,298778,423243,421700,527808,392358,443738,412310,610307,693151,572328,781010,874627,874379,967401,1132756,1295001,1344610,1223281,1235340,1524968,1342051,1339005,1524619,1859979,1901879,2143390,2172245,2008913,1885429,2030332,2518790,2637556,3120034,2814568,2729835,3042094,3127524,2888041,2771556,3199483,2257935,2089104,2044504,2784721,4018199,5416105,5037830,4427675,3895349,4015628,4567889,4920605,4861687,5084187,4181811,4026353,3079974,4296595,4824289,4954149
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134698,167970,190584,267315,265052,315481,461393,505001,517344,490637,548091,415017,524891,437129,477794,474588,582026,730510,643428,630183,641701,677183,652543,713252,807435,737363,765883,751567,630607,663376,761050,794645,1060594,1327484,1105864,1125654,754633,521363,142318,237205,117446,262226,-118,2586,33235,8833,9046,7306,3683,5955
OK,4503,0,6278,0,7041,0,8305,0,7893,8289,8850,8538,7844,8147,9801,10457,10841,11279,12166,14676,14575,20673,16863,17084,22323,21510,24229,22135,27490,25207,28014,35434,40386,42533,53430,70635,91375,94501,89869,128697,139022,103325,97223,104522,107077,88703,83725,112851,95920,137582,149142,142023,162214,166746,163734,221172,222621,187308,194145,167222,173701,104448,133309,168890,304381,561375,360065,342762,216400,353972,446009,585146,397290,388530,327783,157936,234817,302878,301574,601224
OR,4755,0,6906,0,8381,0,16576,0,17017,14538,22071,18606,14811,14027,16391,20713,24505,16286,22442,20930,21466,21897,23325,26567,31076,32190,31335,37543,39880,24517,40606,51131,85734,90691,66657,91104,125474,166034,177425,155503,124171,125110,144065,153822,161728,136376,167047,157816,147784,149074,152161,205031,263682,312001,300459,384073,279197,324386,407084,322651,196257,225501,320065,365347,438255,405857,477113,243752,353589,468606,433126,459744,495134,621727,633871,633046,804453,910929,892484,1223523
PA,39938,0,66470,0,43129,0,58636,0,64214,91495,127854,142467,121797,97911,137628,164059,137952,128102,142086,154343,148900,142760,155457,184665,229088,244503,270932,283965,529770,431696,481600,497212,540103,601016,616872,665993,786976,853715,861682,821962,869714,830108,865299,942971,963228,1015814,1046443,1169237,1094778,1011966,1623774,1469962,1486299,1784579,1504010,1575707,1562856,1537722,1696845,1389458,1198438,1189314,1677998,1703295,2116954,2286527,2191420,1740532,1648956,1978061,1837374,2208163,2301589,2510136,2456231,2344344,2486379,2962361,2510056,4045313
RI,0,0,138,0,250,0,6451,0,4382,6678,7983,7683,7095,6227,7560,7880,7260,7555,8419,8858,9483,10572,10804,12292,14715,17485,17192,28134,23090,27647,28619,30941,34610,36652,35780,40842,43610,55903,53620,50340,52524,42446,59274,70504,67656,87675,79194,77624,68828,45966,48502,69846,79320,82160,86973,89198,69714,66318,74825,77998,28273,67118,69479,113326,169865,179168,145866,108497,121668,130644,136362,144310,137528,176336,144269,129732,118118,176463,213303,257943
