"State","Year","Revenue"
"DE","1998",205274
"DE","1999",232528
"DE","2000",240319
"DE","2001",158703
"DE","2002",251643
"DE","2003",208283
"DE","2004",217768
"DE","2005",248869
"DE","2006",295577
"DE","2007",302222
"DE","2008",308676
"DE","2009",208677
"DE","2010",142417
"DE","2011",341965
"DE","2012",262378
"DE","2013",309644
"DE","2014",278872
"DE","2015",400746
"DE","2016",318152
"DE","2017",246175
"DE","2018",254802
"DE","2019",289974
"DE","2020",244913
"DE","2021",334805
"FL","1950",0
"FL","1951",0
"FL","1952",0
"FL","1953",0
"FL","1954",0
"FL","1955",0
"FL","1956",0
"FL","1957",0
"FL","1958",0
"FL","1959",0
"FL","1960",0
"FL","1961",0
"FL","1962",0
"FL","1963",0
"FL","1964",0
"FL","1965",0
"FL","1966",0
"FL","1967",0
"FL","1968",0
"FL","1969",0
"FL","1970",0
"FL","1971",0
"FL","1972",27874
"FL","1973",147708
"FL","1974",188778
"FL","1975",180256
"FL","1976",180740
"FL","1977",194199
"FL","1978",256189
"FL","1979",314409
"FL","1980",371405
"FL","1981",402471
"FL","1982",383827
"FL","1983",371453
"FL","1984",365446
"FL","1985",454088
"FL","1986",486925
"FL","1987",596434
"FL","1988",624032
"FL","1989",725364
"FL","1990",698825
"FL","1991",582149
"FL","1992",695114
"FL","1993",755900
"FL","1994",950235
"FL","1995",944969
"FL","1996",1007556
"FL","1997",1232731
"FL","1998",1271261
"FL","1999",1266959
"FL","2000",1182796
"FL","2001",1591473
"FL","2002",1218864
"FL","2003",1226980
"FL","2004",1441338
"FL","2005",1785213
"FL","2006",2405863
"FL","2007",2442516
"FL","2008",2208600
"FL","2009",1836800
"FL","2010",1793180
"FL","2011",1869870
"FL","2012",2003490
"FL","2013",2071710
"FL","2014",2043750
"FL","2015",2237500
"FL","2016",2272230
"FL","2017",2383783
"FL","2018",2426900
"FL","2019",3114711
"FL","2020",2481710
"FL","2021",3407190
"GA","1950",14589
"GA","1951",21781
"GA","1952",23524
"GA","1953",14212
"GA","1954",13121
"GA","1955",11574
"GA","1956",18481
"GA","1957",21850
"GA","1958",20408
"GA","1959",21116
"GA","1960",23634
"GA","1961",24445
"GA","1962",24880
"GA","1963",35953
"GA","1964",41049
"GA","1965",48139
"GA","1966",59288
"GA","1967",64608
"GA","1968",66353
"GA","1969",73223
"GA","1970",84735
